Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
3-68420,383111580011822239,2023-08-01T00:15,2023,8,0.0070,0.0000,0.0000,0.0140,0.0280,0.0000,0.0000,0.0560,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T00:30,2023,8,0.0080,0.0000,0.0000,0.0140,0.0320,0.0000,0.0000,0.0560,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T00:45,2023,8,0.0210,0.0000,0.0000,0.0080,0.0840,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T01:00,2023,8,0.0190,0.0000,0.0000,0.0080,0.0760,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T01:15,2023,8,0.0190,0.0000,0.0000,0.0080,0.0760,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T01:30,2023,8,0.0120,0.0000,0.0000,0.0110,0.0480,0.0000,0.0000,0.0440,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T01:45,2023,8,0.0060,0.0000,0.0000,0.0140,0.0240,0.0000,0.0000,0.0560,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T02:00,2023,8,0.0060,0.0000,0.0000,0.0150,0.0240,0.0000,0.0000,0.0600,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T02:15,2023,8,0.0100,0.0000,0.0010,0.0130,0.0400,0.0000,0.0040,0.0520,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T02:30,2023,8,0.0190,0.0000,0.0000,0.0070,0.0760,0.0000,0.0000,0.0280,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T02:45,2023,8,0.0190,0.0000,0.0000,0.0080,0.0760,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T03:00,2023,8,0.0180,0.0000,0.0000,0.0080,0.0720,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T03:15,2023,8,0.0090,0.0000,0.0000,0.0130,0.0360,0.0000,0.0000,0.0520,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T03:30,2023,8,0.0060,0.0000,0.0000,0.0150,0.0240,0.0000,0.0000,0.0600,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T03:45,2023,8,0.0050,0.0000,0.0000,0.0140,0.0200,0.0000,0.0000,0.0560,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T04:00,2023,8,0.0130,0.0000,0.0000,0.0110,0.0520,0.0000,0.0000,0.0440,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T04:15,2023,8,0.0200,0.0000,0.0000,0.0080,0.0800,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T04:30,2023,8,0.0180,0.0000,0.0000,0.0080,0.0720,0.0000,0.0000,0.0320,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T04:45,2023,8,0.0150,0.0000,0.0000,0.0100,0.0600,0.0000,0.0000,0.0400,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T05:00,2023,8,0.0060,0.0000,0.0000,0.0140,0.0240,0.0000,0.0000,0.0560,4,,,,,,Ne
3-68420,383111580011822239,2023-08-01T05:15,2023,8,0.0060,0.0000,0.0000,0.0140,0.0240,0.0000,0.0000,0.0560,4,,,,,,Ne
