Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
3-83472,383111580029696907,2025-07-12T00:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T00:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T00:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T01:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T01:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T01:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T01:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T02:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T02:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T02:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T02:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T03:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T03:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T03:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T03:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T04:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T04:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T04:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T04:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T05:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T05:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
