controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,286.6508889974005,286.6508889974005,0.0,261.57197790799955,25.078911089400002,138.1382468375377,424.7891358349382,4.0,0.0,0.0,0.0,0.0,3410.7819999999783,906.306999999999,5.64,0.0,0,0.0,0.6222848892211914,1,True
self_consumption,Self-consumption,True,238.81063051259878,239.1536048700422,0.34297435744340304,212.55346804199857,26.2571624707,126.25365811879965,365.4072629888418,0.0,906.306999999999,821.7420675000009,0.0,0.0,2589.039932499991,5.551115123125783e-16,5.64,82.17420675000008,0,5.551115123125783e-17,1.2671682834625244,2,True
fixed_schedule,Fixed schedule,True,245.49316598159942,245.39947982817145,-0.09368615342796113,229.47738934949945,16.015776631899996,122.40924727290559,367.808727101077,5.092631578947368,990.4808864265914,892.8710000000009,406.2304975955676,0.0,2924.1414975955686,322.05661116897477,5.12,89.2871000000001,0,0.0,3.2232658863067627,5,True
delayed_pv_charge,Delayed PV charge,True,238.81063051259878,239.1536048700422,0.34297435744340304,212.55346804199857,26.2571624707,126.25365811879965,365.4072629888418,0.0,906.306999999999,821.7420675000009,0.0,0.0,2589.039932499991,5.551115123125783e-16,5.64,82.17420675000008,0,5.551115123125783e-17,1.272383213043213,2,True
price_threshold,Price threshold,True,243.2109231134992,243.55389747094262,0.34297435744340304,215.4548365695991,27.756086543899993,127.89632587701051,371.4502233479531,0.0,1170.0256227146797,1059.7481244999994,334.46930972853187,0.0,2685.5031852285265,70.7506870138504,5.64,105.97481244999994,0,5.551115123125783e-17,2.548874855041504,4,True
price_rank_daily,Day-ahead price rank,True,239.814226656299,240.15720101374242,0.34297435744340304,213.75036243189894,26.063864224499998,127.06977614596413,367.22697715970656,0.0,1140.4499279999986,1033.0560600200004,243.44192799999993,0.0,2621.167867979996,9.299,5.64,103.30560600200003,0,5.551115123125783e-17,1.9187517166137695,3,True
peak_shaving,Peak shaving,True,270.7390780434999,270.61320229124124,-0.12587575225863337,251.3322752561995,19.406802787199997,97.02991365011464,367.64311594135586,5.468048552631578,230.10381025091144,206.27404262644745,51.98888656622686,0.0,3256.496843939703,728.1920763153163,5.234,20.627404262644745,0,0.0,1.3532190322875977,2,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,237.3461606075988,237.4954326804265,0.1492720728277001,214.4311758983987,22.9149847092,107.04358290642153,344.539015586848,2.2590876596092735,939.7535613008102,849.7814557973555,62.9739628571187,0.0,2623.974507059757,29.527401556305716,5.234,84.97814557973555,0,0.0,3.5142130851745605,5,True
tariff_arbitrage,Tariff arbitrage,True,257.51544352399975,257.77921791158485,0.263774387585074,237.38540677699993,20.1300367471,102.60093613242044,360.3801540440053,0.9236838631167754,2087.4971576199887,1886.888685082081,1726.724836531569,0.0,3250.618151449458,545.5346789115782,5.234,188.68886850820812,0,2.7755575615628914e-17,3.4776339530944824,4,True
price_oracle,Price threshold (foresight),False,241.06433276609903,241.40730712354244,0.34297435744340304,213.45157551299891,27.612757252999998,127.48126118110852,368.88856830465096,0.0,1142.1581307479228,1034.5977129999985,275.24991966759006,0.0,2651.434206667586,39.39878891966756,5.64,103.45977129999986,0,2.7755575615628914e-17,2.5230464935302734,4,True
