controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,222.14233999299992,222.14233999299992,0.0,206.22833533959923,15.914004653400001,129.28602469619182,351.42836468919177,4.0,0.0,0.0,0.0,0.0,2636.2150000000242,530.005999999998,4.6,0.0,0,0.0,0.619006872177124,1,True
self_consumption,Self-consumption,True,194.7411760245999,195.0841503820433,0.34297435744340304,178.82987626639968,15.911299757999998,126.34327575952072,321.427426141564,0.0,530.005999999998,482.13041500000116,0.0,0.0,2154.084585000006,7.771561172376096e-16,4.6,48.21304150000012,0,5.551115123125783e-17,1.2589468955993652,2,True
fixed_schedule,Fixed schedule,True,204.53458424880066,204.38638322382116,-0.1482010249794916,193.50191137920032,11.032672869499999,125.13828728510188,329.524670508923,5.72842105263158,455.14862880886335,409.12963750000097,243.40704709141284,0.0,2470.492409591422,318.2644182825474,4.6,40.912963750000095,0,0.0,3.2193615436553955,5,True
delayed_pv_charge,Delayed PV charge,True,194.7411760245999,195.0841503820433,0.34297435744340304,178.82987626639968,15.911299757999998,126.34327575952072,321.427426141564,0.0,530.005999999998,482.13041500000116,0.0,0.0,2154.084585000006,7.771561172376096e-16,4.6,48.21304150000012,0,5.551115123125783e-17,1.2578709125518799,2,True
price_threshold,Price threshold,True,196.1070323885,196.4500067459434,0.34297435744340304,180.15100648239957,15.956025905899997,126.3429314942955,322.79293824023887,0.0,818.6211495844858,742.6055874999975,332.00445429362884,0.0,2225.613866793635,43.38930470914123,4.6,74.26055874999975,0,5.551115123125783e-17,1.253542184829712,2,True
price_rank_daily,Day-ahead price rank,True,195.38201984710003,195.72499420454344,0.34297435744340304,179.67656036589992,15.7054594811,126.28696952950644,322.01196373404986,0.0,766.7785999999978,695.8176864999986,244.19359999999998,0.0,2184.590913500003,7.421,4.6,69.58176864999986,0,2.7755575615628914e-17,1.886120080947876,3,True
peak_shaving,Peak shaving,True,207.74102592090043,207.52016158142646,-0.22086433947395726,197.76630845350047,9.9747174675,96.62208736130007,304.14224894272655,6.5758699993821415,264.24284052440646,236.03208707386392,97.25922560191522,0.0,2497.44213852805,363.0223850775084,3.37,23.603208707386393,0,0.0,2.0147218704223633,3,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,188.3470444302999,188.3899162249803,0.04287179468042534,179.23457468319987,9.1124697471,103.85256048131257,292.2424767062929,3.5000000000000004,662.837820993421,598.6861334465631,133.46749223995934,0.0,2170.9963587933908,0.6356712465370624,3.37,59.86861334465631,0,0.0,4.066287994384766,6,False
tariff_arbitrage,Tariff arbitrage,True,213.76688109560033,213.86038784297978,0.09350674737944763,194.12990418010017,19.636976915399995,103.80168143750603,317.6620692804858,2.909460776292841,1383.9679767429227,1250.067111273004,1214.2376785964184,0.0,2600.385567323427,360.2757018534951,4.6,125.0067111273004,0,0.0,3.5000762939453125,4,True
price_oracle,Price threshold (foresight),False,195.51884652750022,195.86182088494363,0.34297435744340304,179.64005621779992,15.8787903096,126.35833681612274,322.22015770106634,0.0,768.0261240997204,696.943577,275.0928249307479,0.0,2214.364247930748,37.072700831024925,4.6,69.6943577,0,5.551115123125783e-17,1.2651190757751465,2,True
