controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,176.62934630629977,176.62934630629977,0.0,158.16008455129963,18.469261754999998,75.57806331260679,252.20740961890655,4.0,0.0,0.0,0.0,0.0,2470.984999999991,1453.2129999999959,4.232,0.0,0,0.0,0.6283409595489502,1,True
self_consumption,Self-consumption,True,115.18768171250004,115.27350224545029,0.08582053295025162,96.94401510760012,18.2436666046,68.33215948540581,183.6056617308561,2.999102631578939,1260.230468144043,1138.3088499999812,0.0,0.0,1332.6761500000032,192.98253185595544,4.232,113.83088499999812,0,1.1102230246251565e-16,1.2737741470336914,2,True
fixed_schedule,Fixed schedule,True,161.2243306959993,160.97386915865576,-0.2504615373435379,148.30556610779956,12.918764588299998,71.21032417300454,232.1841933316603,6.921052631578949,251.42160664819923,224.13299999999793,60.78916675900276,0.0,2307.6411667589928,1262.5805601108027,4.232,22.413299999999793,0,0.0,2.611935615539551,4,True
delayed_pv_charge,Delayed PV charge,True,115.49737223640014,115.60774302241555,0.11037078601540866,97.29372228370018,18.2036499523,68.39071875580866,183.99846177822423,2.7127808989787603,1255.0796415352988,1133.9322346315605,0.0,0.0,1337.052765368424,198.13335846469823,4.232,113.39322346315605,0,1.3877787807814457e-17,1.2961630821228027,2,True
price_threshold,Price threshold,True,120.82345197269983,120.95105964392509,0.12760767122526231,105.94075496489987,14.8826970077,68.16968275169911,189.1207423956242,2.511752631578938,1272.80305706371,1150.1185939999825,217.40422770083094,0.0,1538.2706337008321,397.8141706371195,4.232,115.01185939999826,0,1.1102230246251565e-16,1.921410083770752,3,True
price_rank_daily,Day-ahead price rank,True,119.98125801170005,119.83158332518867,-0.1496746865113749,102.4377580907,17.543499921,69.14579096819972,188.97737429338838,5.745607894736841,1343.6428127792246,1210.979311033232,187.66330917811635,0.0,1447.6689981448699,297.233496398892,4.232,121.0979311033232,0,1.1102230246251565e-16,2.5442380905151367,4,True
peak_shaving,Peak shaving,True,127.75118998659994,127.6407718742723,-0.1104181123276329,118.5912573543,9.159932632099999,53.75704834849129,181.39782022276358,5.287771052631582,920.7627603038648,829.765008674235,71.29608712271843,0.0,1712.5160784484615,603.7463268188574,2.732,82.9765008674235,0,1.1102230246251565e-16,4.088175058364868,6,False
self_consumption_peak_shaving,Self-consumption + peak shaving,True,116.25558434600036,116.15594656247126,-0.0996377835291026,104.3845586516004,11.871025694299998,56.18314563519578,172.33909219766704,5.162043533187983,1189.7192748987063,1072.6177042395377,73.14534506460603,0.0,1471.5126408250553,336.6390701658971,2.732,107.26177042395378,0,5.551115123125783e-17,4.135885715484619,6,False
tariff_arbitrage,Tariff arbitrage,True,161.74760553260037,161.50607937983233,-0.24152615276803863,148.0470689344003,13.7005365981,55.10206981579253,216.60814919562486,6.8168421052631585,756.6228658410834,680.1761364215668,564.7340189099687,0.0,2355.5428824884,1261.3241530688838,4.232,68.01761364215668,0,0.0,5.223090887069702,6,False
price_oracle,Price threshold (foresight),False,121.61217217299983,121.52458261441646,-0.08758955858337994,103.33245385189993,18.279718321100002,68.88345653980409,190.40803915422055,5.02152894736842,1296.8057511357326,1169.3967378999844,182.303600306094,0.0,1483.8918624060955,338.7108491703601,4.232,116.93967378999844,0,2.7755575615628914e-17,2.536229372024536,4,True
