config,dataset,channel,mae,nmae,skill_vs_naive,n_sim,n_train,steps_per_day,start_ts,refit_every_days
default,Ausgrid 127,consumption,0.28827741728101036,0.5077624285072267,0.23323487743049087,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 127,generation,0.07816544978312996,0.4404813215990544,-0.4359239293045707,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 127,consumption,0.3035534001823788,0.5346690459210794,0.1926035612066478,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 127,generation,0.07076832914988505,0.3987967476395942,-0.3000364936830928,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 127,consumption,0.2971714737625023,0.5234281291400328,0.20957831642584035,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 127,generation,0.07731449107830476,0.4356859623198896,-0.42029154990294604,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 127,consumption,0.28820686353271274,0.507638157439053,0.23342253747674568,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 127,generation,0.07826514599124826,0.44104313398076783,-0.43775538004521364,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 127,consumption,0.3902280627985982,0.687334966114042,-0.037935164065101556,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 127,generation,0.06973539864850463,0.39297593302609957,-0.281061235070037,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 127,consumption,0.28824985885515414,0.5077138879959007,0.2333081777950452,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 127,generation,0.07853464517295658,0.44256182741959665,-0.44270616488706693,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 127,consumption,0.28848448065565624,0.5081271431732479,0.2326841267843338,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 127,generation,0.0782206235273488,0.4407922390675589,-0.4369374883618393,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 127,consumption,0.28952275650890547,0.5099559283541293,0.2299225032087293,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 127,generation,0.08246312469237066,0.46469976502997806,-0.5148735708619645,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 127,consumption,0.32340623865477025,0.5696371872711068,0.13979864756404647,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 127,generation,0.07145154499133062,0.4026468350837568,-0.312587383856866,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 127,consumption,0.28732801303584465,0.5060901788745388,0.2357601188083227,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 127,generation,0.07823921363239061,0.4408969988311143,-0.4372789944460733,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 138,consumption,0.45272579457191536,0.49696007258855834,0.10072509717943146,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 138,generation,0.018968200939146383,,,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 138,consumption,0.41933390162131834,0.4603055727929607,0.16705330654628903,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 138,generation,0.07913700986871046,,,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 138,consumption,0.44132619729926237,0.484446659931224,0.12336876328476576,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 138,generation,0.02444000585976535,,,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 138,consumption,0.6032077216776762,0.6621450704711248,-0.19818568280438664,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 138,generation,0.01927914642407841,,,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 138,consumption,0.49977872539163326,0.5486103832093219,0.00726119408918402,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 138,generation,0.5904641165260652,,,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 138,consumption,0.4525532665137205,0.4967706874080538,0.1010677994390049,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 138,generation,0.018147547198258812,,,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 138,consumption,0.44960956566688953,0.4935393676907768,0.10691503925768997,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 138,generation,0.01895560217803887,,,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 138,consumption,0.42535721654231357,0.4669174050681505,0.15508885476293643,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 138,generation,0.013025856606545351,,,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 138,consumption,0.42834518032494884,0.4701973125002297,0.14915369296637604,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 138,generation,0.3440505019304239,,,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 138,consumption,0.45710583450865844,0.5017680711408893,0.09202477562565448,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 138,generation,0.019256721848403883,,,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 142,consumption,0.3470420782203289,0.7896401153219247,0.016483258473904305,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 142,generation,0.1577241559266442,0.46009987994110585,-0.257285645543206,90,730,48,2010-07-01 00:30:00,30
