Date,Step,SMP_MWh,Generation,Consumption,Charge_kW,Discharge_kW,SOC_kWh,SOC_%,Spill_kW,Import_Rate_kWh,Export_Rate_kWh,Step_Cost,Cum_Cost,Step_RL_Reward,Cum_RL_Reward,Energy_Component_EUR,Power_Component_EUR
2024-01-01 00:00:00+00:00,0,1e-05,0.0,0.167,0.0,0.167,15.0,50.0,0.0,0.1835002,0.0749,0.0089321294,0.0089321294,0.0,0.0,0.0,0.0
2024-01-01 00:15:00+00:00,1,1e-05,0.0,0.181,0.0,0.181,14.824211,49.41403666666667,0.0,0.1835002,0.0749,0.0089321294,0.0178642588,0.0,0.0,0.0,0.0
2024-01-01 00:30:00+00:00,2,1e-05,0.0,0.168,0.0,0.168,14.633684,48.77894666666667,0.0,0.1835002,0.0749,0.0089321294,0.0267963882,0.0,0.0,0.0,0.0
2024-01-01 00:45:00+00:00,3,1e-05,0.0,0.149,0.0,0.149,14.456842,48.18947333333333,0.0,0.1835002,0.0749,0.0089321294,0.0357285176,0.0,0.0,0.0,0.0
2024-01-01 01:00:00+00:00,4,2.9999999999999997e-05,0.0,0.164,0.0,0.164,14.3,47.66666666666667,0.0,0.1835002,0.0749,0.0089321294,0.044660647000000005,0.0,0.0,0.0,0.0
2024-01-01 01:15:00+00:00,5,2.9999999999999997e-05,0.0,0.122,0.0,0.122,14.127368,47.09122666666667,0.0,0.1835002,0.0749,0.0089321294,0.05359277640000001,0.0,0.0,0.0,0.0
2024-01-01 01:30:00+00:00,6,2.9999999999999997e-05,0.0,0.122,0.0,0.122,13.998947,46.663156666666666,0.0,0.1835002,0.0749,0.0089321294,0.0625249058,0.0,0.0,0.0,0.0
2024-01-01 01:45:00+00:00,7,2.9999999999999997e-05,0.0,0.133,0.0,0.133,13.870526,46.23508666666666,0.0,0.1835002,0.0749,0.0089321294,0.0714570352,0.0,0.0,0.0,0.0
2024-01-01 02:00:00+00:00,8,0.0,0.0,0.115,0.0,0.115,13.730526,45.76842,0.0,0.1835002,0.0749,0.0089321294,0.08038916460000001,0.0,0.0,0.0,0.0
2024-01-01 02:15:00+00:00,9,0.0,0.0,0.135,0.0,0.135,13.609474,45.364913333333334,0.0,0.1835002,0.0749,0.0089321294,0.08932129400000001,0.0,0.0,0.0,0.0
2024-01-01 02:30:00+00:00,10,0.0,0.0,0.117,0.0,0.117,13.467368,44.89122666666667,0.0,0.1835002,0.0749,0.0089321294,0.09825342340000001,0.0,0.0,0.0,0.0
2024-01-01 02:45:00+00:00,11,0.0,0.0,0.095,0.0,0.095,13.344211,44.48070333333333,0.0,0.1835002,0.0749,0.0089321294,0.10718555280000001,0.0,0.0,0.0,0.0
2024-01-01 03:00:00+00:00,12,0.0,0.0,0.082,0.0,0.082,13.244211,44.14737,0.0,0.1835002,0.0749,0.0089321294,0.11611768220000002,0.0,0.0,0.0,0.0
2024-01-01 03:15:00+00:00,13,0.0,0.0,0.067,0.0,0.067,13.157895,43.85965,0.0,0.1835002,0.0749,0.0089321294,0.1250498116,0.0,0.0,0.0,0.0
2024-01-01 03:30:00+00:00,14,0.0,0.0,0.078,0.0,0.078,13.087368,43.62456,0.0,0.1835002,0.0749,0.0089321294,0.133981941,0.0,0.0,0.0,0.0
2024-01-01 03:45:00+00:00,15,0.0,0.0,0.07,0.0,0.07,13.005263,43.350876666666665,0.0,0.1835002,0.0749,0.0089321294,0.14291407039999998,0.0,0.0,0.0,0.0
