Date,Step,SMP_MWh,Generation,Consumption,Charge_kW,Discharge_kW,SOC_kWh,SOC_%,Spill_kW,Import_Rate_kWh,Export_Rate_kWh,Step_Cost,Cum_Cost,Step_RL_Reward,Cum_RL_Reward,Energy_Component_EUR,Power_Component_EUR,Netting_Credit_EUR
2024-01-01 00:00:00+00:00,0,1e-05,0.0,0.052,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0219332198,0.0219332198,-0.0048932065,-0.0048932065,0.0078291304,0.0,0.0
2024-01-01 00:15:00+00:00,1,1e-05,0.0,0.063,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.023589382,0.0455226018,-0.005928307875,-0.010821514375,0.0094852926,0.0,0.0
2024-01-01 00:30:00+00:00,2,1e-05,0.0,0.065,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0238905024,0.06941310419999999,-0.0061165081250000005,-0.0169380225,0.009786413,0.0,0.0
2024-01-01 00:45:00+00:00,3,1e-05,0.0,0.079,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.025998345200000002,0.09541144939999999,-0.007433909875,-0.024371932375000002,0.0118942558,0.0,0.0
2024-01-01 01:00:00+00:00,4,2.9999999999999997e-05,0.0,0.306,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.060175510599999996,0.15558696,-0.028794638249999997,-0.053166570625,0.0460714212,0.0,0.0
2024-01-01 01:15:00+00:00,5,2.9999999999999997e-05,0.0,0.327,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0633372748,0.2189242348,-0.030770740874999997,-0.0839373115,0.0492331854,0.0,0.0
2024-01-01 01:30:00+00:00,6,2.9999999999999997e-05,0.0,0.316,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0616811126,0.2806053474,-0.0297356395,-0.113672951,0.0475770232,0.0,0.0
2024-01-01 01:45:00+00:00,7,2.9999999999999997e-05,0.0,0.301,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0594227096,0.340028057,-0.028324137625,-0.141997088625,0.0453186202,0.0,0.0
2024-01-01 02:00:00+00:00,8,0.0,0.0,0.296,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0586699086,0.3986979656,-0.027853637,-0.16985072562499998,0.0445658192,0.0,0.0
2024-01-01 02:15:00+00:00,9,0.0,0.0,0.297,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0588204688,0.45751843439999995,-0.027947737125,-0.19779846275,0.0447163794,0.0,0.0
2024-01-01 02:30:00+00:00,10,0.0,0.0,0.338,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.064993437,0.5225118714,-0.03180584225,-0.22960430499999998,0.0508893476,0.0,0.0
2024-01-01 02:45:00+00:00,11,0.0,0.0,0.331,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0639395156,0.586451387,-0.031147141375,-0.260751446375,0.0498354262,0.0,0.0
2024-01-01 03:00:00+00:00,12,0.0,0.0,0.32,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0622833534,0.6487347404,-0.03011204,-0.290863486375,0.048179264,0.0,0.0
2024-01-01 03:15:00+00:00,13,0.0,0.0,0.296,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0586699086,0.707404649,-0.027853637,-0.31871712337499997,0.0445658192,0.0,0.0
2024-01-01 03:30:00+00:00,14,0.0,0.0,0.301,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0594227096,0.7668273586,-0.028324137625,-0.347041261,0.0453186202,0.0,0.0
2024-01-01 03:45:00+00:00,15,0.0,0.0,0.311,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0609283116,0.8277556702,-0.029265138875,-0.376306399875,0.0468242222,0.0,0.0
2024-01-01 04:00:00+00:00,16,0.0,0.0,0.306,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.060175510599999996,0.8879311808,-0.028794638249999997,-0.405101038125,0.0460714212,0.0,0.0
2024-01-01 04:15:00+00:00,17,0.0,0.0,0.323,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.06273503400000001,0.9506662148,-0.030394340375000002,-0.4354953785,0.0486309446,0.0,0.0
2024-01-01 04:30:00+00:00,18,0.0,0.0,0.322,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0625844738,1.0132506886000001,-0.03030024025,-0.46579561875,0.0484803844,0.0,0.0
2024-01-01 04:45:00+00:00,19,0.0,0.0,0.317,0.0,0.0,15.0,50.0,0.0,0.1505602,0.0539,0.0618316728,1.0750823614,-0.029829739625,-0.495625358375,0.0477275834,0.0,0.0
2024-01-01 05:00:00+00:00,20,2e-05,0.0,0.289,0.0,0.0,15.0,50.0,0.0,0.1494866,0.0539,0.057305716799999996,1.1323880782,-0.027001017125,-0.5226263755,0.0432016274,0.0,0.0
