obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.01.2025–31.07.2026,Elektro energija – Zanesljiva oskrba (redni cenik),,,,,naslov
01.01.2025–31.07.2026,Električna energija MT,1075.0,kWh,0.1029,110.6175,energija
01.01.2025–31.07.2026,Električna energija VT,1677.0,kWh,0.1249,209.4573,energija
01.01.2025–31.07.2026,Skupaj električna energija,,,,320.0748,skupaj
01.01.2025–31.07.2026,Dogovorjena moč za časovni blok 1,19.6,kW,1.71126,33.5407,omreznina
01.01.2025–31.07.2026,Dogovorjena moč za časovni blok 2,66.5,kW,0.959624,63.81501,omreznina
01.01.2025–31.07.2026,Dogovorjena moč za časovni blok 3,66.5,kW,0.19614,13.04331,omreznina
01.01.2025–31.07.2026,Dogovorjena moč za časovni blok 4,66.5,kW,0.009408,0.62566,omreznina
01.01.2025–31.07.2026,Prevzeta EE za časovni blok 1,335.0,kWh,0.01998,6.6933,omreznina
01.01.2025–31.07.2026,Prevzeta EE za časovni blok 2,1118.0,kWh,0.018752,20.96484,omreznina
01.01.2025–31.07.2026,Prevzeta EE za časovni blok 3,923.0,kWh,0.017764,16.39623,omreznina
01.01.2025–31.07.2026,Prevzeta EE za časovni blok 4,315.0,kWh,0.018361,5.78375,omreznina
01.01.2025–31.07.2026,Skupaj omrežnina za elektroenergetski sistem,,,,161.90468,skupaj
01.01.2025–31.07.2026,Prispevek za delovanje operaterja trga,2752.0,kWh,0.00013,0.35776,prispevki
01.01.2025–31.07.2026,Prispevek za energetsko učinkovitost,2752.0,kWh,0.0008,2.2016,prispevki
01.01.2025–31.07.2026,Prispevek za SPTE in OVE,65.1,kW,0.45036,29.31843,prispevki
01.01.2025–31.07.2026,Skupaj prispevki in ostale dajatve,,,,31.87779,skupaj
01.01.2025–31.07.2026,Trošarina,2752.0,kWh,0.00153,4.21056,trosarina
01.01.2025–31.07.2026,Skupaj trošarina,,,,4.21056,skupaj
01.01.2025–31.07.2026,100% Jedrska energija,19.0,kos,0.0,0.0,poslovanje
01.01.2025–31.07.2026,Pavšalni strošek poslovanja,19.0,kos,1.99,37.81,poslovanje
01.01.2025–31.07.2026,E-popust,19.0,kos,-0.81,-15.39,poslovanje
01.01.2025–31.07.2026,Obračun storitev pogodbenega računa,,,,22.42,skupaj
01.01.2025–31.07.2026,Skupaj brez DDV,,,,540.48783,skupaj
01.01.2025–31.07.2026,DDV 22%,,,,118.90733,ddv
01.01.2025–31.07.2026,Skupaj z DDV,,,,659.39516,skupaj
01.01.2025–31.07.2026,ZA PLAČILO,,,,659.39516,za_placilo
01.01.2025–31.07.2026,"Paket 'Zanesljiva oskrba (redni cenik)' velja šele od 2025-03-01, obračunavaš pa 2025-01-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
01.01.2025–31.07.2026,"Paket 'Zanesljiva oskrba (redni cenik)' velja šele od 2025-03-01, obračunavaš pa 2025-02-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
01.01.2025–31.07.2026,Dogovorjena moč za časovni blok 5,45.5,kW,0.000942,0.04285,omreznina
01.01.2025–31.07.2026,Prevzeta EE za časovni blok 5,61.0,kWh,0.016378,0.99903,omreznina
