obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
2026,Elektro energija – Zanesljiva oskrba (redni cenik),,,,,naslov
2026,Električna energija MT,431.0,kWh,0.1029,44.3499,energija
2026,Električna energija VT,625.0,kWh,0.1249,78.0625,energija
2026,Skupaj električna energija,,,,122.4124,skupaj
2026,Dogovorjena moč za časovni blok 1,5.6,kW,1.711261,9.58306,omreznina
2026,Dogovorjena moč za časovni blok 2,24.5,kW,1.040854,25.50093,omreznina
2026,Dogovorjena moč za časovni blok 3,24.5,kW,0.253005,6.19863,omreznina
2026,Dogovorjena moč za časovni blok 4,24.5,kW,0.018562,0.45478,omreznina
2026,Prevzeta EE za časovni blok 1,114.0,kWh,0.01998,2.27772,omreznina
2026,Prevzeta EE za časovni blok 2,423.0,kWh,0.019446,8.22549,omreznina
2026,Prevzeta EE za časovni blok 3,368.0,kWh,0.017272,6.35628,omreznina
2026,Prevzeta EE za časovni blok 4,128.0,kWh,0.018085,2.3149,omreznina
2026,Skupaj omrežnina za elektroenergetski sistem,,,,61.27939,skupaj
2026,Prispevek za delovanje operaterja trga,1056.0,kWh,0.00013,0.13728,prispevki
2026,Prispevek za energetsko učinkovitost,1056.0,kWh,0.0008,0.8448,prispevki
2026,Prispevek za SPTE in OVE,23.1,kW,0.681606,15.74509,prispevki
2026,Skupaj prispevki in ostale dajatve,,,,16.72717,skupaj
2026,Trošarina,1056.0,kWh,0.00153,1.61568,trosarina
2026,Skupaj trošarina,,,,1.61568,skupaj
2026,100% Jedrska energija,7.0,kos,0.0,0.0,poslovanje
2026,Pavšalni strošek poslovanja,7.0,kos,1.99,13.93,poslovanje
2026,E-popust,7.0,kos,-0.81,-5.67,poslovanje
2026,Obračun storitev pogodbenega računa,,,,8.26,skupaj
2026,Skupaj brez DDV,,,,210.29464,skupaj
2026,DDV 22%,,,,46.26482,ddv
2026,Skupaj z DDV,,,,256.55946,skupaj
2026,ZA PLAČILO,,,,256.55946,za_placilo
2026,Dogovorjena moč za časovni blok 5,17.5,kW,0.002449,0.04285,omreznina
2026,Prevzeta EE za časovni blok 5,25.0,kWh,0.01299,0.32475,omreznina
