obdobje,leto,mesec,Energija,Omrežnina,Prispevki in trošarina,Poslovanje,DDV,Za plačilo,Prevzeto [kWh],Povprečna cena [EUR/kWh]
01/2025,2025,1,16.14,12.41,0.34,1.18,6.62,36.7,140.0,0.2621
02/2025,2025,2,15.32,12.22,0.32,1.18,6.39,35.42,129.0,0.2746
03/2025,2025,3,16.01,6.26,0.34,1.18,5.23,29.03,137.0,0.2119
04/2025,2025,4,13.13,5.81,0.28,1.18,4.49,24.88,112.0,0.2221
05/2025,2025,5,17.94,6.65,0.39,1.18,5.75,31.9,157.0,0.2032
06/2025,2025,6,15.7,6.23,0.33,1.18,5.16,28.6,134.0,0.2134
07/2025,2025,7,14.84,6.06,3.02,1.18,5.52,30.63,126.0,0.2431
08/2025,2025,8,20.8,7.05,3.16,1.18,7.08,39.26,179.0,0.2193
09/2025,2025,9,17.66,6.54,3.08,1.18,6.26,34.72,150.0,0.2314
10/2025,2025,10,18.69,6.7,3.11,1.18,6.53,36.2,160.0,0.2263
11/2025,2025,11,13.84,12.04,1.65,1.18,6.32,35.03,120.0,0.2919
12/2025,2025,12,17.6,12.67,1.73,1.18,7.3,40.48,152.0,0.2663
01/2026,2026,1,17.89,11.52,1.47,1.18,7.05,39.1,155.0,0.2523
02/2026,2026,2,16.86,11.32,1.44,1.18,6.77,37.57,145.0,0.2591
03/2026,2026,3,16.78,7.56,3.07,1.18,6.29,34.88,143.0,0.2439
04/2026,2026,4,16.37,7.52,3.06,1.18,6.19,34.32,142.0,0.2417
05/2026,2026,5,19.12,7.96,3.13,1.18,6.91,38.29,167.0,0.2293
06/2026,2026,6,16.79,7.57,3.07,1.18,6.29,34.9,145.0,0.2407
07/2026,2026,7,18.61,7.83,3.11,1.18,6.76,37.48,159.0,0.2358
