obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
2025,Elektro energija – Zanesljiva oskrba (redni cenik),,,,,naslov
2025,Električna energija MT,1726.0,kWh,0.1029,177.6054,energija
2025,Električna energija VT,1472.0,kWh,0.1249,183.8528,energija
2025,Skupaj električna energija,,,,361.4582,skupaj
2025,Dogovorjena moč za časovni blok 2,25.0,kW,0.91224,22.806,omreznina
2025,Dogovorjena moč za časovni blok 3,25.0,kW,0.16297,4.07425,omreznina
2025,Dogovorjena moč za časovni blok 4,25.0,kW,0.00407,0.10175,omreznina
2025,Dogovorjena moč za časovni blok 5,15.0,kW,0.0,0.0,omreznina
2025,Prevzeta EE za časovni blok 2,1001.0,kWh,0.01833,18.34833,omreznina
2025,Prevzeta EE za časovni blok 3,1038.0,kWh,0.01809,18.77742,omreznina
2025,Prevzeta EE za časovni blok 4,601.0,kWh,0.01855,11.14855,omreznina
2025,Prevzeta EE za časovni blok 5,137.0,kWh,0.01873,2.56601,omreznina
2025,Skupaj omrežnina za elektroenergetski sistem,,,,98.21271,skupaj
2025,Prispevek za delovanje operaterja trga,3198.0,kWh,0.00013,0.41574,prispevki
2025,Prispevek za energetsko učinkovitost,3198.0,kWh,0.0008,2.5584,prispevki
2025,Prispevek za SPTE in OVE,22.0,kW,0.652225,14.34896,prispevki
2025,Skupaj prispevki in ostale dajatve,,,,17.3231,skupaj
2025,Trošarina,3198.0,kWh,0.00153,4.89294,trosarina
2025,Skupaj trošarina,,,,4.89294,skupaj
2025,100% Jedrska energija,5.0,kos,0.0,0.0,poslovanje
2025,Pavšalni strošek poslovanja,5.0,kos,1.99,9.95,poslovanje
2025,E-popust,5.0,kos,-0.81,-4.05,poslovanje
2025,Obračun storitev pogodbenega računa,,,,5.9,skupaj
2025,Skupaj brez DDV,,,,487.78695,skupaj
2025,DDV 22%,,,,107.31313,ddv
2025,Skupaj z DDV,,,,595.10008,skupaj
2025,ZA PLAČILO,,,,595.10008,za_placilo
2025,Dogovorjena moč za časovni blok 1,7.0,kW,1.71126,11.97882,omreznina
2025,Prevzeta EE za časovni blok 1,421.0,kWh,0.01998,8.41158,omreznina
