obdobje,leto,mesec,Energija,Omrežnina,Prispevki in trošarina,Poslovanje,DDV,Za plačilo,Prevzeto [kWh],Povprečna cena [EUR/kWh]
08/2025,2025,8,49.73,13.52,4.97,1.18,15.27,84.66,442.0,0.1915
09/2025,2025,9,61.36,15.22,5.2,1.18,18.25,101.2,536.0,0.1888
10/2025,2025,10,73.69,17.34,5.48,1.18,21.49,119.18,652.0,0.1828
11/2025,2025,11,82.14,25.11,3.17,1.18,24.55,136.15,736.0,0.185
12/2025,2025,12,94.54,27.02,3.4,1.18,27.75,153.9,832.0,0.185
01/2026,2026,1,81.26,22.53,2.87,1.18,23.73,131.57,726.0,0.1812
02/2026,2026,2,56.19,18.25,2.31,1.18,17.15,95.08,498.0,0.1909
03/2026,2026,3,57.19,14.45,4.19,1.18,16.94,93.94,504.0,0.1864
04/2026,2026,4,49.81,13.3,4.03,1.18,15.03,83.35,440.0,0.1894
05/2026,2026,5,47.74,13.0,3.99,1.18,14.5,80.41,425.0,0.1892
06/2026,2026,6,41.79,12.06,3.85,1.18,12.95,71.83,367.0,0.1957
07/2026,2026,7,29.8,10.11,3.58,1.18,9.83,54.5,258.0,0.2112
