obdobje,leto,mesec,Energija,Omrežnina,Prispevki in trošarina,Poslovanje,DDV,Za plačilo,Prevzeto [kWh],Povprečna cena [EUR/kWh]
08/2025,2025,8,45.58,13.52,4.97,0.99,14.31,79.38,443.0,0.1792
09/2025,2025,9,55.15,15.22,5.2,0.99,16.84,93.4,536.0,0.1743
10/2025,2025,10,66.99,17.34,5.48,0.99,19.98,110.77,651.0,0.1702
11/2025,2025,11,75.73,25.11,3.17,0.99,23.1,128.11,736.0,0.1741
12/2025,2025,12,85.72,27.02,3.41,0.99,25.77,142.9,833.0,0.1716
01/2026,2026,1,74.71,22.76,2.87,0.99,22.29,123.62,726.0,0.1703
02/2026,2026,2,51.14,18.48,2.31,0.99,16.04,88.97,497.0,0.179
03/2026,2026,3,51.86,14.76,4.34,0.99,15.83,87.78,504.0,0.1742
04/2026,2026,4,45.28,13.62,4.18,0.99,14.1,78.16,440.0,0.1776
05/2026,2026,5,43.63,13.31,4.15,0.99,13.66,75.73,424.0,0.1786
06/2026,2026,6,37.87,12.37,4.01,0.99,12.15,67.38,368.0,0.1831
07/2026,2026,7,26.65,10.42,3.74,0.99,9.2,51.0,259.0,0.1969
