obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.08.2025–31.07.2026,GEN-I – Redni cenik za prevzem in oddajo pri samooskrbi,,,,,naslov
01.08.2025–31.07.2026,Električna energija ET,6417.0,kWh,0.1029,660.3093,energija
01.08.2025–31.07.2026,Skupaj električna energija,,,,660.3093,skupaj
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 2,53.0,kW,0.980187,51.94992,omreznina
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 3,55.1,kW,0.212155,11.68974,omreznina
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 4,55.1,kW,0.011987,0.6605,omreznina
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 5,36.5,kW,0.001442,0.05265,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 2,2050.0,kWh,0.018817,38.57475,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 3,2087.0,kWh,0.017772,37.09051,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 4,1236.0,kWh,0.018337,22.6643,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 5,280.0,kWh,0.015799,4.42358,omreznina
01.08.2025–31.07.2026,Skupaj omrežnina za elektroenergetski sistem,,,,203.93255,skupaj
01.08.2025–31.07.2026,Prispevek za delovanje operaterja trga,6417.0,kWh,0.00013,0.83421,prispevki
01.08.2025–31.07.2026,Prispevek za energetsko učinkovitost,6417.0,kWh,0.0008,5.1336,prispevki
01.08.2025–31.07.2026,Prispevek za SPTE in OVE,47.6,kW,0.672964,32.0331,prispevki
01.08.2025–31.07.2026,Skupaj prispevki in ostale dajatve,,,,38.00091,skupaj
01.08.2025–31.07.2026,Trošarina,6417.0,kWh,0.00153,9.81801,trosarina
01.08.2025–31.07.2026,Skupaj trošarina,,,,9.81801,skupaj
01.08.2025–31.07.2026,100% Jedrska energija,12.0,kos,0.0,0.0,poslovanje
01.08.2025–31.07.2026,Pavšalni strošek poslovanja,12.0,kos,1.99,23.88,poslovanje
01.08.2025–31.07.2026,E-popust,12.0,kos,-1.0,-12.0,poslovanje
01.08.2025–31.07.2026,Obračun storitev pogodbenega računa,,,,11.88,skupaj
01.08.2025–31.07.2026,Skupaj brez DDV,,,,923.94077,skupaj
01.08.2025–31.07.2026,DDV 22%,,,,203.26696,ddv
01.08.2025–31.07.2026,Skupaj z DDV,,,,1127.20773,skupaj
01.08.2025–31.07.2026,ZA PLAČILO,,,,1127.20773,za_placilo
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 1,12.6,kW,1.71126,21.56188,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 1,764.0,kWh,0.01998,15.26472,omreznina
