obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.11.2025–31.07.2026,GEN-I – Redni cenik za gospodinjske odjemalce (enotarifni),,,,,naslov
01.11.2025–31.07.2026,Električna energija ET,1937.0,kWh,0.1089,210.9393,energija
01.11.2025–31.07.2026,Skupaj električna energija,,,,210.9393,skupaj
01.11.2025–31.07.2026,Dogovorjena moč za časovni blok 1,12.6,kW,1.71126,21.56188,omreznina
01.11.2025–31.07.2026,Dogovorjena moč za časovni blok 2,28.0,kW,1.00227,28.06356,omreznina
01.11.2025–31.07.2026,Dogovorjena moč za časovni blok 3,28.0,kW,0.225996,6.32788,omreznina
01.11.2025–31.07.2026,Dogovorjena moč za časovni blok 4,28.0,kW,0.014215,0.39803,omreznina
01.11.2025–31.07.2026,Prevzeta EE za časovni blok 1,287.0,kWh,0.01998,5.73426,omreznina
01.11.2025–31.07.2026,Prevzeta EE za časovni blok 2,582.0,kWh,0.019234,11.19441,omreznina
01.11.2025–31.07.2026,Prevzeta EE za časovni blok 3,571.0,kWh,0.017571,10.03315,omreznina
01.11.2025–31.07.2026,Prevzeta EE za časovni blok 4,401.0,kWh,0.018163,7.28355,omreznina
01.11.2025–31.07.2026,Skupaj omrežnina za elektroenergetski sistem,,,,91.90404,skupaj
01.11.2025–31.07.2026,Prispevek za delovanje operaterja trga,1937.0,kWh,0.00013,0.25181,prispevki
01.11.2025–31.07.2026,Prispevek za energetsko učinkovitost,1937.0,kWh,0.0008,1.5496,prispevki
01.11.2025–31.07.2026,Prispevek za SPTE in OVE,26.6,kW,0.591921,15.7451,prispevki
01.11.2025–31.07.2026,Skupaj prispevki in ostale dajatve,,,,17.54651,skupaj
01.11.2025–31.07.2026,Trošarina,1937.0,kWh,0.00153,2.96361,trosarina
01.11.2025–31.07.2026,Skupaj trošarina,,,,2.96361,skupaj
01.11.2025–31.07.2026,100% Jedrska energija,9.0,kos,0.0,0.0,poslovanje
01.11.2025–31.07.2026,Pavšalni strošek poslovanja,9.0,kos,1.99,17.91,poslovanje
01.11.2025–31.07.2026,E-popust,9.0,kos,-1.0,-9.0,poslovanje
01.11.2025–31.07.2026,Obračun storitev pogodbenega računa,,,,8.91,skupaj
01.11.2025–31.07.2026,Skupaj brez DDV,,,,332.26346,skupaj
01.11.2025–31.07.2026,DDV 22%,,,,73.09797,ddv
01.11.2025–31.07.2026,Skupaj z DDV,,,,405.36143,skupaj
01.11.2025–31.07.2026,ZA PLAČILO,,,,405.36143,za_placilo
01.11.2025–31.07.2026,Dogovorjena moč za časovni blok 5,14.0,kW,0.00245,0.0343,omreznina
01.11.2025–31.07.2026,Prevzeta EE za časovni blok 5,98.0,kWh,0.01299,1.27302,omreznina
