obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.08.2025–31.07.2026,Elektro energija – Zanesljiva oskrba (redni cenik),,,,,naslov
01.08.2025–31.07.2026,Električna energija MT,3460.0,kWh,0.1029,356.034,energija
01.08.2025–31.07.2026,Električna energija VT,2956.0,kWh,0.1249,369.2044,energija
01.08.2025–31.07.2026,Skupaj električna energija,,,,725.2384,skupaj
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 2,51.6,kW,0.978541,50.49272,omreznina
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 3,53.0,kW,0.210536,11.15841,omreznina
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 4,53.0,kW,0.011727,0.62151,omreznina
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 5,35.0,kW,0.0014,0.049,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 2,2050.0,kWh,0.018817,38.57475,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 3,2087.0,kWh,0.017772,37.09051,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 4,1236.0,kWh,0.018337,22.6643,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 5,280.0,kWh,0.015799,4.42358,omreznina
01.08.2025–31.07.2026,Skupaj omrežnina za elektroenergetski sistem,,,,201.90138,skupaj
01.08.2025–31.07.2026,Prispevek za delovanje operaterja trga,6416.0,kWh,0.00013,0.83408,prispevki
01.08.2025–31.07.2026,Prispevek za energetsko učinkovitost,6416.0,kWh,0.0008,5.1328,prispevki
01.08.2025–31.07.2026,Prispevek za SPTE in OVE,46.6,kW,0.670762,31.2575,prispevki
01.08.2025–31.07.2026,Skupaj prispevki in ostale dajatve,,,,37.22438,skupaj
01.08.2025–31.07.2026,Trošarina,6416.0,kWh,0.00153,9.81648,trosarina
01.08.2025–31.07.2026,Skupaj trošarina,,,,9.81648,skupaj
01.08.2025–31.07.2026,100% Jedrska energija,12.0,kos,0.0,0.0,poslovanje
01.08.2025–31.07.2026,Pavšalni strošek poslovanja,12.0,kos,1.99,23.88,poslovanje
01.08.2025–31.07.2026,E-popust,12.0,kos,-0.81,-9.72,poslovanje
01.08.2025–31.07.2026,Obračun storitev pogodbenega računa,,,,14.16,skupaj
01.08.2025–31.07.2026,Skupaj brez DDV,,,,988.34064,skupaj
01.08.2025–31.07.2026,DDV 22%,,,,217.43495,ddv
01.08.2025–31.07.2026,Skupaj z DDV,,,,1205.77559,skupaj
01.08.2025–31.07.2026,ZA PLAČILO,,,,1205.77559,za_placilo
01.08.2025–31.07.2026,Dogovorjena moč za časovni blok 1,12.6,kW,1.71126,21.56188,omreznina
01.08.2025–31.07.2026,Prevzeta EE za časovni blok 1,764.0,kWh,0.01998,15.26472,omreznina
