obdobje,produkt,kolicina,enota,cena_eur_em,znesek_eur_brez_ddv,kategorija
01.01.2024–31.01.2024,GEN-I – GEN-I Dinamični – Samooskrba za gospodinjske odjemalce,,,,,naslov
01.01.2024–31.01.2024,Električna energija – blok 1,99.649,kWh,0.114244,11.38427,energija
01.01.2024–31.01.2024,Električna energija – blok 2,67.638,kWh,0.100718,6.81236,energija
01.01.2024–31.01.2024,Električna energija – blok 3,43.659,kWh,0.084464,3.68763,energija
01.01.2024–31.01.2024,Električna energija – blok 4,10.602,kWh,0.073495,0.7792,energija
01.01.2024–31.01.2024,Skupaj električna energija,,,,22.66345,skupaj
01.01.2024–31.01.2024,Dogovorjena moč za časovni blok 1,3.5,kW,2.676114,9.3664,omreznina
01.01.2024–31.01.2024,Dogovorjena moč za časovni blok 2,4.576,kW,1.092308,4.9984,omreznina
01.01.2024–31.01.2024,Dogovorjena moč za časovni blok 3,4.576,kW,0.28903,1.3226,omreznina
01.01.2024–31.01.2024,Dogovorjena moč za časovni blok 4,4.576,kW,0.024366,0.1115,omreznina
01.01.2024–31.01.2024,Prevzeta EE za časovni blok 1,99.649,kWh,0.02217,2.20922,omreznina
01.01.2024–31.01.2024,Prevzeta EE za časovni blok 2,67.638,kWh,0.01998,1.35141,omreznina
01.01.2024–31.01.2024,Prevzeta EE za časovni blok 3,43.659,kWh,0.01717,0.74963,omreznina
01.01.2024–31.01.2024,Prevzeta EE za časovni blok 4,10.602,kWh,0.01805,0.19137,omreznina
01.01.2024–31.01.2024,Skupaj omrežnina za elektroenergetski sistem,,,,20.30052,skupaj
01.01.2024–31.01.2024,Prispevek za delovanje operaterja trga,221.548,kWh,0.00013,0.0288,prispevki
01.01.2024–31.01.2024,Prispevek za energetsko učinkovitost,221.548,kWh,0.0008,0.17724,prispevki
01.01.2024–31.01.2024,Prispevek za SPTE in OVE,3.5,kW,0.38781,1.35733,prispevki
01.01.2024–31.01.2024,Skupaj prispevki in ostale dajatve,,,,1.56337,skupaj
01.01.2024–31.01.2024,Trošarina,221.548,kWh,0.00153,0.33897,trosarina
01.01.2024–31.01.2024,Skupaj trošarina,,,,0.33897,skupaj
01.01.2024–31.01.2024,100% Jedrska energija,1.0,kos,0.0,0.0,poslovanje
01.01.2024–31.01.2024,Pavšalni strošek poslovanja,1.0,kos,2.97,2.97,poslovanje
01.01.2024–31.01.2024,E-popust,1.0,kos,-1.0,-1.0,poslovanje
01.01.2024–31.01.2024,Obračun storitev pogodbenega računa,,,,1.97,skupaj
01.01.2024–31.01.2024,Skupaj brez DDV,,,,46.83619,skupaj
01.01.2024–31.01.2024,DDV 22%,,,,10.30396,ddv
01.01.2024–31.01.2024,Skupaj z DDV,,,,57.14015,skupaj
01.01.2024–31.01.2024,ZA PLAČILO,,,,57.14015,za_placilo
01.01.2024–31.01.2024,"Paket 'GEN-I Dinamični – Samooskrba za gospodinjske odjemalce' velja šele od 2024-10-02, obračunavaš pa 2024-01-01 — cene so ekstrapolirane nazaj.",,,,,opozorilo
01.02.2024–29.02.2024,GEN-I – GEN-I Dinamični – Samooskrba za gospodinjske odjemalce,,,,,naslov
01.02.2024–29.02.2024,Električna energija – blok 1,81.89,kWh,0.089154,7.30079,energija
01.02.2024–29.02.2024,Električna energija – blok 2,70.528,kWh,0.080325,5.66514,energija
01.02.2024–29.02.2024,Električna energija – blok 3,39.281,kWh,0.07189,2.82391,energija
01.02.2024–29.02.2024,Električna energija – blok 4,10.792,kWh,0.0712,0.76839,energija
01.02.2024–29.02.2024,Skupaj električna energija,,,,16.55823,skupaj
01.02.2024–29.02.2024,Dogovorjena moč za časovni blok 1,3.5,kW,2.676114,9.3664,omreznina
01.02.2024–29.02.2024,Dogovorjena moč za časovni blok 2,4.576,kW,1.092308,4.9984,omreznina
01.02.2024–29.02.2024,Dogovorjena moč za časovni blok 3,4.576,kW,0.28903,1.3226,omreznina
01.02.2024–29.02.2024,Dogovorjena moč za časovni blok 4,4.576,kW,0.024366,0.1115,omreznina
01.02.2024–29.02.2024,Prevzeta EE za časovni blok 1,81.89,kWh,0.02217,1.8155,omreznina
01.02.2024–29.02.2024,Prevzeta EE za časovni blok 2,70.528,kWh,0.01998,1.40915,omreznina
01.02.2024–29.02.2024,Prevzeta EE za časovni blok 3,39.281,kWh,0.01717,0.67445,omreznina
01.02.2024–29.02.2024,Prevzeta EE za časovni blok 4,10.792,kWh,0.01805,0.1948,omreznina
01.02.2024–29.02.2024,Skupaj omrežnina za elektroenergetski sistem,,,,19.8928,skupaj
01.02.2024–29.02.2024,Prispevek za delovanje operaterja trga,202.491,kWh,0.00013,0.02632,prispevki
01.02.2024–29.02.2024,Prispevek za energetsko učinkovitost,202.491,kWh,0.0008,0.16199,prispevki
01.02.2024–29.02.2024,Prispevek za SPTE in OVE,3.5,kW,0.38781,1.35733,prispevki
01.02.2024–29.02.2024,Skupaj prispevki in ostale dajatve,,,,1.54565,skupaj
01.02.2024–29.02.2024,Trošarina,202.491,kWh,0.00153,0.30981,trosarina
01.02.2024–29.02.2024,Skupaj trošarina,,,,0.30981,skupaj
01.02.2024–29.02.2024,100% Jedrska energija,1.0,kos,0.0,0.0,poslovanje
01.02.2024–29.02.2024,Pavšalni strošek poslovanja,1.0,kos,2.97,2.97,poslovanje
01.02.2024–29.02.2024,E-popust,1.0,kos,-1.0,-1.0,poslovanje
