Dataset,Household,Tariff,Capacity_kWh,Controller,Causal,Cost_EUR_Closed,Savings_EUR,No_Battery_EUR,Cost_EUR,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius_EV,4,Aktivni,5.0,no_battery,True,1453.8093735757975,0.0,1453.8093735757975,1453.8093735757975,0.0,1120.5183495431809,1.630623498,2.5,0.0,0.0,0.0,0.0,6394.705999999999,0.0,8.424,0.0,0,0.0,1.415266036987305,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,self_consumption,True,1453.822450775212,-0.0130771994142833,1453.8093735757975,1453.3733935949974,0.4490571802146608,1120.0823695623817,1.630623498,0.0,0.0,2.374999999999999,0.0,0.0,6392.330999999998,0.0,8.424,0.4749999999999998,0,0.0,1.3991329669952393,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,fixed_schedule,True,1534.1203334076554,-80.31095983185764,1453.8093735757975,1533.9123490294508,0.2079843782046852,1200.840586668692,1.411361826,1.3421052631578931,1835.772833794963,1657.8849824999827,1835.772833794963,0.0,6572.593851295056,0.0,8.424,331.57699649999654,0,2.7755575615628914e-17,1.4173710346221924,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,delayed_pv_charge,True,1453.822450775212,-0.0130771994142833,1453.8093735757975,1453.3733935949974,0.4490571802146608,1120.0823695623817,1.630623498,0.0,0.0,2.374999999999999,0.0,0.0,6392.330999999998,0.0,8.424,0.4749999999999998,0,0.0,1.4107351303100586,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,price_threshold,True,1300.3410285863818,153.46834498941598,1453.8093735757975,1300.503445478089,-0.1624168917071131,967.5143965105932,1.328648433,3.4042105263157896,1779.4117506924688,1605.0601049999825,1779.4117506924688,0.0,6569.057645692533,0.0,8.424,321.0120209999965,0,1.3877787807814457e-17,1.4352660179138184,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,price_rank_daily,True,1323.836761961364,129.97261161443362,1453.8093735757975,1323.9991788530713,-0.1624168917071131,990.9045805045994,1.4341978139999998,3.4042105263157896,1815.3648781162892,1637.5078024999814,1815.3648781162892,0.0,6572.563075616349,0.0,8.424,327.5015604999963,0,1.3877787807814457e-17,1.4142239093780518,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,peak_shaving,True,1455.1728872299814,-1.3635136541836346,1453.8093735757975,1455.621944410196,-0.4490571802146502,1123.7640066195847,0.197537256,4.999999999999941,94.11398626038569,82.56287259999813,94.11398626038569,0.0,6406.257113660406,0.0,8.316,16.512574519999625,0,0.0,1.458554744720459,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,self_consumption_peak_shaving,True,1453.807047811012,0.0023257647858372,1453.8093735757975,1453.3579906307973,0.4490571802146608,1120.0669665981818,1.630623498,0.0,0.0,2.374999999999999,0.0,0.0,6392.330999999998,0.0,8.424,0.4749999999999998,0,0.0,1.4234669208526611,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,price_oracle,False,1300.343386673983,153.46598690181463,1453.8093735757975,1300.5058035656905,-0.1624168917071131,967.5167545981928,1.328648433,3.4042105263157896,1783.659950138452,1608.8941049999826,1783.659950138452,0.0,6569.471845138514,0.0,8.424,321.7788209999965,0,1.3877787807814457e-17,1.456230878829956,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_EV,4,Aktivni,5.0,milp_full_period,False,1279.8946806310755,173.914692944722,1453.8093735757975,1279.8946806310755,0.0,948.230148225196,0.0041318715,2.5000000223184204,1844.929005934266,1665.0484199610944,1844.929005934266,0.0,6677.434085973131,102.84749999999993,8.260000000000002,333.00968399221887,1,7.184210648603084e-08,28.19225287437439,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
