Dataset,Household,Tariff,Capacity_kWh,Controller,Causal,Cost_EUR_Closed,Savings_EUR,No_Battery_EUR,Cost_EUR,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius_PV_EV,4,Aktivni,5.0,no_battery,True,562.6849419623998,0.0,562.6849419623998,562.6849419623998,0.0,390.2668443187971,4.552834608,2.5,0.0,0.0,0.0,0.0,2574.9979999999746,1997.621000000002,5.504,0.0,0,0.0,1.382753849029541,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,self_consumption,True,399.4346408676522,163.25030109474756,562.6849419623998,398.98558368743755,0.4490571802146608,226.8833839199015,4.236936731999999,0.0,1126.0371468144078,1018.6235249999995,0.0,0.0,1556.3744750000124,871.5838531855937,5.504,203.72470499999991,0,2.7755575615628914e-17,1.3857762813568115,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,fixed_schedule,True,516.7917946494081,45.89314731299169,562.6849419623998,516.7184338322976,0.0733608171104789,346.4258196467989,2.4273511500000002,2.0915842105263156,1894.2751939057753,1709.9713574999967,1431.2897257617346,0.0,2296.3163682617665,1534.6355318559579,5.504,341.99427149999934,0,5.551115123125783e-17,1.391463279724121,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,delayed_pv_charge,True,420.8650117666531,141.81993019574668,562.6849419623998,420.41595458643843,0.4490571802146608,248.3137548189007,4.236936731999999,0.0,1076.4970168801906,973.9135577343712,0.0,0.0,1601.0844422656403,921.1239831198083,5.504,194.78271154687425,0,2.7755575615628914e-17,1.4022259712219238,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,price_threshold,True,414.9451964669001,147.73974549549968,562.6849419623998,415.1182016542249,-0.17300518732480616,244.53339519070093,2.7195434279999997,3.463157894736842,1681.9951135733625,1517.0855900000008,1517.7324044321024,0.0,2575.6448144321116,1833.3582908587302,5.504,303.4171180000002,0,5.551115123125783e-17,1.4085109233856201,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,price_rank_daily,True,376.0829033787015,186.6020385836983,562.6849419623998,376.2559085660263,-0.17300518732480616,205.6711021025011,2.7195434279999997,3.463157894736842,1788.3333711911023,1613.055867499996,1095.5534819944453,0.0,2057.495614494458,1304.8411108033251,4.455578947368421,322.6111734999992,0,5.551115123125783e-17,1.4127130508422852,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,peak_shaving,True,546.8685813701313,15.816360592268438,562.6849419623998,547.1333275212987,-0.2647461511673558,377.70607516999866,1.5619893157,3.973900000000002,94.89375490304687,84.24140879999948,2.480677562325326,0.0,2493.2372687622938,1905.2079226592787,3.67988480000141,16.848281759999896,0,0.0,1.403007984161377,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,self_consumption_peak_shaving,True,425.535371328596,137.14957063380376,562.6849419623998,425.32054921092595,0.2148221176700681,254.48029757970147,2.9749885957,1.3040380649999983,963.0461750268396,870.2853367999694,36.12842355868362,0.0,1740.8410867587156,1070.7032485318448,5.504,174.05706735999388,0,0.0,1.4161489009857178,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,price_oracle,False,415.4099717252006,147.27497023719917,562.6849419623998,415.5829769125254,-0.17300518732480616,244.9981704490011,2.7195434279999997,3.463157894736842,1687.1127368420598,1521.7042450000017,1527.7282576176976,0.0,2581.0220126177087,1838.236520775628,5.504,304.34084900000033,0,5.551115123125783e-17,1.4100501537322998,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius_PV_EV,4,Aktivni,5.0,milp_full_period,False,326.5965889095027,236.08835305289705,562.6849419623998,326.5965889095027,0.0,158.7313258739994,0.0,2.5000000028157916,1895.49866006358,1710.6875374999963,821.0100731317915,0.0,1903.0890331318008,1140.900910568263,4.45557896,342.1375074999993,1,6.873947544505654e-08,28.485382795333862,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
