Dataset,Household,Tariff,Capacity_kWh,Controller,Causal,Cost_EUR_Closed,Savings_EUR,No_Battery_EUR,Cost_EUR,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius,4,Aktivni,5.0,no_battery,True,632.2062338636919,0.0,632.2062338636919,632.2062338636919,0.0,483.04304146059656,3.692930262,2.5,0.0,0.0,0.0,0.0,2764.862999999951,0.0,4.688,0.0,0,0.0,1.489518165588379,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,self_consumption,True,632.2356956875064,-0.02946182381458584,632.2062338636919,631.7866385072917,0.4490571802146608,482.6234461041968,3.692930262,0.0,0.0,2.375,0.0,0.0,2762.4879999999494,0.0,4.688,0.475,0,0.0,1.4860761165618896,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,fixed_schedule,True,706.3749164281718,-74.16868256447992,632.2062338636919,706.1170157991979,0.25790062897380966,559.4638016080966,1.18295205,1.064210526315788,1861.9900277007748,1681.8099999999647,1861.9900277007748,0.0,2945.04302770084,0.0,4.184,336.3619999999929,0,5.551115123125783e-17,1.4118239879608154,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,delayed_pv_charge,True,632.2356956875064,-0.02946182381458584,632.2062338636919,631.7866385072917,0.4490571802146608,482.6234461041968,3.692930262,0.0,0.0,2.375,0.0,0.0,2762.4879999999494,0.0,4.688,0.475,0,0.0,1.4032089710235596,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,price_threshold,True,486.09903337383776,146.1072004898541,632.2062338636919,486.2415972112617,-0.1425638374239387,338.91953801810246,1.8517970519999998,3.293684210526316,1737.287961218791,1567.1483849999636,1737.287961218791,0.0,2935.002576218837,0.0,4.688,313.4296769999927,0,6.938893903907228e-18,1.414701223373413,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,price_rank_daily,True,496.2077188155659,135.99851504812597,632.2062338636919,496.35028265298985,-0.1425638374239387,349.46405115980303,1.415969352,3.293684210526316,1836.0970969528578,1656.3236299999617,1836.0970969528578,0.0,2944.6364669529044,0.0,4.688,331.2647259999923,0,1.1102230246251565e-16,1.4221389293670654,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,peak_shaving,True,629.2171236656508,2.9891101980410895,632.2062338636919,629.0746261802918,0.14249748535894372,483.6043640391969,0.0,1.7066851859999974,80.31159991877814,73.23486799999726,80.31159991877814,0.0,2771.9397319187324,0.0,3.16,14.646973599999452,0,0.0,1.4183251857757568,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,self_consumption_peak_shaving,True,629.3084700081504,2.897763855541484,632.2062338636919,629.1659725227914,0.14249748535894372,483.695710381697,0.0,1.7066851859999974,82.77126795201252,75.45471839999138,82.77126795201252,0.0,2772.1795495519787,0.0,3.16,15.090943679998276,0,0.0,1.4833252429962158,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,price_oracle,False,485.92245590213975,146.28377796155212,632.2062338636919,486.0650197395637,-0.1425638374239387,338.7429605464022,1.8517970519999998,3.293684210526316,1742.1533407201762,1571.5393899999635,1742.1533407201762,0.0,2935.4769507202204,0.0,4.688,314.3078779999927,0,6.938893903907228e-18,1.4202938079833984,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,5.0,milp_full_period,False,470.45929019123395,161.74694367245792,632.2062338636919,470.45929019123395,0.0,324.98902805010124,0.0,2.500000027052634,1755.9650130438483,1584.7584174999713,1755.9650130438483,0.0,3066.8550955438072,130.78549999999984,4.40357896,316.95168349999426,1,1.2162237261748032e-07,30.055071115493774,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,no_battery,True,632.2062338636919,0.0,632.2062338636919,632.2062338636919,0.0,483.04304146059656,3.692930262,5.0,0.0,0.0,0.0,0.0,2764.862999999951,0.0,4.688,0.0,0,0.0,1.4220011234283447,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,self_consumption,True,632.2505969699212,-0.044363106229297955,632.2062338636919,631.3524826094919,0.8981143604293216,482.1892902063969,3.692930262,0.0,0.0,4.749999999999999,0.0,0.0,2760.1129999999466,0.0,4.688,0.4749999999999999,0,0.0,1.4233829975128174,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,fixed_schedule,True,698.0640733617585,-65.8578394980666,632.2062338636919,698.2552299129993,-0.19115655124085246,552.7849677718991,0.0,6.0642105263157955,2749.2904958448653,2480.2236724999366,2749.2904958448653,0.0,3033.9298233449113,0.0,4.688,248.02236724999366,0,1.3877787807814457e-17,1.42246413230896,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,delayed_pv_charge,True,632.2505969699212,-0.044363106229297955,632.2062338636919,631.3524826094919,0.8981143604293216,482.1892902063969,3.692930262,0.0,0.0,4.749999999999999,0.0,0.0,2760.1129999999466,0.0,4.688,0.4749999999999999,0,0.0,1.4234848022460938,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,price_threshold,True,471.96688798373026,160.2393458799616,632.2062338636919,471.8067783005459,0.160109683184347,324.48471910741046,1.8517970519999998,4.108634210526316,2071.7038670360066,1870.5595374999268,2071.7038670360066,0.0,2966.0073295360344,0.0,4.688,187.05595374999268,0,1.734723475976807e-18,1.421731948852539,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,price_rank_daily,True,476.5418352435681,155.6643986201238,632.2062338636919,476.3817255603837,0.160109683184347,329.4954940672086,1.415969352,4.108634210526316,2315.676520775621,2090.74485749992,2315.676520775621,0.0,2989.7946632756702,0.0,4.688000000000001,209.074485749992,0,1.734723475976807e-18,1.416245937347412,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,peak_shaving,True,629.1981171562654,3.0081167074264386,632.2062338636919,628.6065624906918,0.5915546655736045,483.1363003495972,0.0,1.7066851859999974,78.24126640077333,73.741391999998,78.24126640077333,0.0,2769.3628744007287,0.0,3.16,7.3741391999998,0,0.0,1.4237449169158936,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,self_consumption_peak_shaving,True,629.3277760541648,2.878457809527049,632.2062338636919,628.7362213885912,0.5915546655736045,483.26595924749716,0.0,1.7066851859999974,82.90060867223343,77.94644839999073,82.90060867223343,0.0,2769.8171602722014,0.0,3.16,7.794644839999073,0,0.0,1.433502197265625,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,price_oracle,False,471.84165931553304,160.36457454815883,632.2062338636919,471.68154963234866,0.160109683184347,324.3594904392102,1.8517970519999998,4.108634210526316,2076.919426592794,1875.266579999925,2076.919426592794,0.0,2966.5158465928203,0.0,4.688,187.5266579999925,0,1.734723475976807e-18,1.4354779720306396,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,10.0,milp_full_period,False,387.83687835854147,244.3693555051504,632.2062338636919,387.83687835854147,0.0,242.36661621750375,0.0,5.000000015289468,3045.7602438874687,2748.7986199999887,3045.7602438874687,0.0,4209.184623887692,1147.3600000000008,4.688000000000001,274.87986199999887,1,8.157893915949899e-09,59.44653296470642,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,no_battery,True,632.2062338636919,0.0,632.2062338636919,632.2062338636919,0.0,483.04304146059656,3.692930262,10.0,0.0,0.0,0.0,0.0,2764.862999999951,0.0,4.688,0.0,0,0.0,1.3833510875701904,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,self_consumption,True,632.0690840667502,0.13714979694168505,632.2062338636919,630.2728553458916,1.7962287208586432,481.10966294279683,3.692930262,0.0,0.0,9.500000000000004,0.0,0.0,2755.3629999999475,0.0,4.688,0.4750000000000002,0,0.0,1.4045360088348389,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,fixed_schedule,True,698.4771093323274,-66.2708754686355,632.2062338636919,699.5663802439975,-1.089270911670173,554.0961181028988,0.0,16.06421052631579,2790.9152354570538,2513.0399999999418,2790.9152354570538,0.0,3042.738235457098,0.0,4.688,125.65199999999709,0,0.0,1.4260311126708984,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,delayed_pv_charge,True,632.0690840667502,0.13714979694168505,632.2062338636919,630.2728553458916,1.7962287208586432,481.10966294279683,3.692930262,0.0,0.0,9.500000000000004,0.0,0.0,2755.3629999999475,0.0,4.688,0.4750000000000002,0,0.0,1.4071879386901855,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,price_threshold,True,472.35816203248527,159.8480718312066,632.2062338636919,472.8521405295498,-0.49397849706449415,325.53008133641094,1.8517970519999998,12.750086842105274,2187.471770083096,1971.5806899999193,2187.471770083096,0.0,2980.7540800831234,0.0,4.688,98.57903449999597,0,0.0,1.4000170230865479,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,price_rank_daily,True,475.5778631250976,156.62837073859424,632.2062338636919,474.51963908148394,1.0582240436136685,327.6334075883087,1.415969352,4.108634210526316,2357.070601108032,2132.853014999916,2357.070601108032,0.0,2989.080586108078,0.0,4.688000000000001,106.6426507499958,0,1.3877787807814457e-17,1.3951070308685303,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,peak_shaving,True,629.1352633593946,3.070970504297293,632.2062338636919,627.6455943333916,1.489669026002926,482.1753321922973,0.0,1.7066851859999974,72.9781085060365,73.741391999998,72.9781085060365,0.0,2764.0997165059875,0.0,3.16,3.6870695999999,0,0.0,1.4302222728729248,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,self_consumption_peak_shaving,True,629.1904837200941,3.0157501435977565,632.2062338636919,627.7008146940912,1.489669026002926,482.2305525529975,0.0,1.7066851859999974,82.7527970378847,82.56304839999098,82.7527970378847,0.0,2765.0527486378496,0.0,3.16,4.128152419999549,0,0.0,1.4401981830596924,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,price_oracle,False,471.3194909321865,160.88674293150535,632.2062338636919,471.81346942925103,-0.49397849706449415,324.89603806811084,1.4471692199999997,12.750086842105274,2199.372094182819,1982.3207324999169,2199.372094182819,0.0,2981.9143616828464,0.0,4.688,99.11603662499584,0,0.0,1.4263880252838135,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,20.0,milp_full_period,False,236.47779231570735,395.7284415479845,632.2062338636919,236.47779231570735,0.0,88.85017874909933,2.1573514252,10.000000000344734,5595.598854892608,5050.028035000058,5595.598854892608,0.0,6772.492854892661,3462.0590349999998,5.055315800000001,252.50140175000288,1,8.540000051987517e-07,39.60913801193237,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,30.0,no_battery,True,632.2062338636919,0.0,632.2062338636919,632.2062338636919,0.0,483.04304146059656,3.692930262,15.0,0.0,0.0,0.0,0.0,2764.862999999951,0.0,4.688,0.0,0,0.0,1.3739991188049316,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,30.0,self_consumption,True,632.1318502263792,0.07438363731262143,632.2062338636919,629.4375071450913,2.6943430812879647,480.27431474199693,3.692930262,0.0,0.0,14.250000000000002,0.0,0.0,2750.6129999999457,0.0,4.688,0.47500000000000003,0,0.0,1.3974840641021729,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,30.0,fixed_schedule,True,698.5447854982006,-66.33855163450869,632.2062338636919,700.5321707703,-1.9873852720994944,555.0619086291985,0.0,26.06421052631579,2796.178393351788,2513.0399999999418,2796.178393351788,0.0,3048.0013933518326,0.0,4.688,83.76799999999805,0,0.0,1.3984310626983643,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,30.0,delayed_pv_charge,True,632.1318502263792,0.07438363731262143,632.2062338636919,629.4375071450913,2.6943430812879647,480.27431474199693,3.692930262,0.0,0.0,14.250000000000002,0.0,0.0,2750.6129999999457,0.0,4.688,0.47500000000000003,0,0.0,1.3852789402008057,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,30.0,price_threshold,True,472.12696294536033,160.07927091833153,632.2062338636919,473.51905580285415,-1.392092857493818,326.60162444171107,1.4471692199999997,22.750086842105286,2216.596656509687,1993.115899999919,2216.596656509687,0.0,2988.3437565097156,0.0,4.688,66.43719666666397,0,0.0,1.4058351516723633,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,30.0,price_rank_daily,True,473.6242998946989,158.58193396899298,632.2062338636919,472.9842048088773,0.640095085821573,326.6035296677106,0.910413,11.436450000000049,2679.3680083102395,2421.5149999999285,2679.3680083102395,0.0,3022.7160083103004,0.0,4.688,80.71716666666428,0,0.0,1.4045982360839844,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
