140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 1 | Dinamični | 5 kWh] no_battery                        540.40 EUR  (   1.8 s)
  [Fluvius 2 | Aktivni | 5 kWh] no_battery                        590.82 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 5 kWh] no_battery                        554.16 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] no_battery                        501.17 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] no_battery                        566.69 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 5 kWh] no_battery                        573.99 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] no_battery                        676.64 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 5 kWh] no_battery                        643.37 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 5 kWh] no_battery                        586.75 EUR  (   1.8 s)
  [Fluvius 1 | Redni 2T | 5 kWh] no_battery                        521.34 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 5 kWh] self_consumption                  590.85 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 5 kWh] self_consumption                  540.63 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 5 kWh] self_consumption                  554.17 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] self_consumption                  676.67 EUR  (   1.7 s)
  [Fluvius 3 | Dinamični | 5 kWh] self_consumption                  643.67 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 5 kWh] self_consumption                  586.82 EUR  (   1.7 s)
  [Fluvius 2 | Dinamični | 5 kWh] self_consumption                  574.29 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] self_consumption                  501.21 EUR  (   1.9 s)
  [Fluvius 2 | Redni 1T | 5 kWh] self_consumption                  566.73 EUR  (   1.9 s)
  [Fluvius 1 | Redni 2T | 5 kWh] self_consumption                  521.40 EUR  (   1.8 s)
  [Fluvius 2 | Aktivni | 5 kWh] fixed_schedule                    681.07 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 5 kWh] fixed_schedule                    565.24 EUR  (   1.7 s)
  [Fluvius 1 | Dinamični | 5 kWh] fixed_schedule                    506.17 EUR  (   1.9 s)
  [Fluvius 3 | Dinamični | 5 kWh] fixed_schedule                    619.08 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 5 kWh] fixed_schedule                    609.51 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] fixed_schedule                    748.69 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] fixed_schedule                    515.86 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 5 kWh] fixed_schedule                    575.18 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] fixed_schedule                    584.02 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 5 kWh] fixed_schedule                    508.29 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 5 kWh] delayed_pv_charge                 590.85 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 5 kWh] delayed_pv_charge                 540.63 EUR  (   1.7 s)
  [Fluvius 2 | Dinamični | 5 kWh] delayed_pv_charge                 574.29 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] delayed_pv_charge                 676.67 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 5 kWh] delayed_pv_charge                 643.67 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] delayed_pv_charge                 501.21 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 5 kWh] delayed_pv_charge                 554.17 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] delayed_pv_charge                 566.73 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 5 kWh] delayed_pv_charge                 586.82 EUR  (   1.8 s)
  [Fluvius 1 | Redni 2T | 5 kWh] delayed_pv_charge                 521.40 EUR  (   1.8 s)
  [Fluvius 2 | Aktivni | 5 kWh] price_threshold                   479.72 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 5 kWh] price_threshold                   484.01 EUR  (   1.8 s)
  [Fluvius 2 | Redni 1T | 5 kWh] price_threshold                   566.73 EUR  (   1.6 s)
  [Fluvius 2 | Dinamični | 5 kWh] price_threshold                   524.34 EUR  (   1.8 s)
  [Fluvius 3 | Dinamični | 5 kWh] price_threshold                   589.33 EUR  (   1.7 s)
  [Fluvius 1 | Redni 1T | 5 kWh] price_threshold                   501.21 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] price_threshold                   541.74 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 5 kWh] price_threshold                   570.23 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 5 kWh] price_threshold                   430.58 EUR  (   2.0 s)
  [Fluvius 1 | Redni 2T | 5 kWh] price_threshold                   505.07 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 5 kWh] price_rank_daily                  494.52 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 5 kWh] price_rank_daily                  490.99 EUR  (   1.7 s)
  [Fluvius 3 | Dinamični | 5 kWh] price_rank_daily                  546.18 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 5 kWh] price_rank_daily                  566.73 EUR  (   1.7 s)
  [Fluvius 1 | Dinamični | 5 kWh] price_rank_daily                  442.65 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 5 kWh] price_rank_daily                  501.21 EUR  (   1.8 s)
  [Fluvius 3 | Aktivni | 5 kWh] price_rank_daily                  555.31 EUR  (   1.8 s)
  [Fluvius 2 | Redni 2T | 5 kWh] price_rank_daily                  571.75 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 5 kWh] price_rank_daily                  433.05 EUR  (   1.8 s)
