Member,Role,Contract,Paket,Capacity_kWh,Consumption_kWh,Generation_kWh,Import_kWh,Export_kWh,Sold_kWh,Curtailed_kWh,Charged_kWh,Discharged_kWh,Self_Consumed_kWh,Shared_Out_kWh,Shared_Out_Used_kWh,Shared_Wasted_kWh,Shared_In_kWh,Energy_EUR,Network_EUR,Levies_EUR,Internal_Paid_EUR,Internal_Received_EUR,Fixed_EUR,Service_Fee_EUR,Power_EUR,Buyback_Credit_EUR,Cost_EUR,Peak_Import_kW,Simultaneous_Battery_Intervals,Simultaneous_Grid_Intervals,Grid_Binaries,Battery_Binaries,Export_Rate_Floored_Intervals,No_Sharing_Incentive_Intervals,config,scheme,sharing,share,internal_price,battery,znacilni_primer,pay_for_unused
osnovni #72,prejemnik,Redni 2T,GENI_REDNI,0.0,1777.573,0.0,1777.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.524270454,40.6586582532,5.3348520876,0.0,0.0,134.9552039661785,0.0,7.807820832,0.0,424.2808055929785,4.5,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
osnovni #223,prejemnik,Redni 2T,GENI_REDNI,0.0,3527.926,0.0,3527.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.581430228,80.2335467938,10.5880115112,0.0,0.0,158.70023561571827,0.0,7.557427416,0.0,724.6606515647184,5.952,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
PV #234,oddajnik,Redni 1T,GENI_SAMO_REDNI,0.0,1578.4140000000002,1192.324,1524.707,1138.617,1138.617,0.0,0.0,0.0,53.707,0.0,0.0,0.0,0.0,191.408667366,34.491422028,4.5759506484,0.0,0.0,135.02609006,0.0,7.838864292,61.371456300000006,311.9695380944,4.28,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
PV #87,oddajnik,Redni 1T,GENI_SAMO_REDNI,0.0,1551.357,2352.015,1462.38,2263.038,2263.038,0.0,0.0,0.0,88.977,0.0,0.0,0.0,0.0,183.58426044,33.9259311904,4.388894856,0.0,0.0,188.0806952704,0.0,4.736032685999999,121.9777482,292.7380662428,5.012,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
HP #184,prejemnik,Redni 2T,GENI_REDNI,0.0,5157.065,0.0,5157.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.35280879,119.2320589736,15.477383477999998,0.0,0.0,241.930770688,0.0,3.744740748000001,0.0,1066.7377626776,6.664,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
HP #134,prejemnik,Redni 2T,GENI_REDNI,0.0,8933.044,0.0,8933.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.108477032,202.8907501676,26.8098516528,0.0,0.0,130.7979585691312,0.0,10.278395778,0.0,1529.8854331995312,5.068,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
EV #17,prejemnik,Redni 2T,GENI_REDNI,0.0,3483.861,0.0,3483.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.280703438,80.8540098554,10.4557636332,0.0,0.0,178.51602130807527,0.0,5.367077562,0.0,741.4735757966753,5.252,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
EV #266,prejemnik,Redni 2T,GENI_REDNI,0.0,6723.868,0.0,6723.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.1688962239999,151.5768895986,20.1796726416,0.0,0.0,293.54742938879997,0.0,5.480369495999999,0.0,1352.9532573489998,7.572,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
HP_EV #82,prejemnik,Redni 2T,GENI_REDNI,0.0,6405.795,0.0,6405.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.4541359699999,146.871356638,19.225071954,0.0,0.0,276.5599185865764,0.0,11.324084982000002,0.0,1292.4345681305765,10.76,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
HP_EV #89,prejemnik,Redni 2T,GENI_REDNI,0.0,11549.31,0.0,11549.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.6974430199998,267.0329887312,34.661789172,0.0,0.0,326.1232557719591,0.0,11.966081441999997,0.0,2168.481558137159,9.924,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
PV_EV #232,oddajnik,Redni 1T,GENI_SAMO_REDNI,0.0,6436.66,2260.9939999999997,6399.313,2223.647,2223.647,0.0,0.0,0.0,37.347,0.0,0.0,0.0,0.0,803.356955394,137.6772808074,19.2056181756,0.0,0.0,214.7817538624,0.0,4.358707752,119.8545733,1059.5257426914,6.564,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
PV_EV #253,oddajnik,Redni 1T,GENI_SAMO_REDNI,0.0,2675.877,2732.747,2603.854,2660.724,2660.724,0.0,0.0,0.0,72.023,0.0,0.0,0.0,0.0,326.882623452,57.4471580534,7.8146866248,0.0,0.0,221.651056266643,0.0,15.780749334,143.4130236,486.16325013084304,7.856,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
PV_HP #155,oddajnik,Redni 1T,GENI_SAMO_REDNI,0.0,4303.849,1423.86,4290.709,1410.7199999999998,1410.7199999999998,0.0,0.0,0.0,13.14,0.0,0.0,0.0,0.0,538.647026442,100.2771349868,12.8772758508,0.0,0.0,207.6580678664387,0.0,7.806287748000002,76.03780800000001,791.2279848940387,7.152,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
PV_HP #248,oddajnik,Redni 1T,GENI_SAMO_REDNI,0.0,5064.6539999999995,4370.6050000000005,5000.97,4306.921,4306.921,0.0,0.0,0.0,63.684000000000005,0.0,0.0,0.0,0.0,627.81177186,110.948537036,15.008911164,0.0,0.0,180.46800348938496,0.0,9.057192438,232.1430419,711.151374087385,5.784,0,0,0,0,0,0,Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True
