config,scheme,sharing,share,internal_price,battery,znacilni_primer,pay_for_unused,Scenario,Scheme,Sharing,Share,Internal_price,Community_cost_EUR,Shared_kWh,Transferred_kWh,Wasted_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Sum_Peaks_kW,Solve_s,Lazy_rounds,Binaries,Unresolved,block,Battery_kWh
Redni,individualno,dinamicni,1.0,0.05,brez baterije,2,True,,individualno,dinamicni,1.0,0.05,16591.99978263159,0.0,0.0,0.0,90915.52,22361.747000000003,0.0,12.028,114.512,16.19805359840393,0.0,0.0,0.0,A,0.0
Redni,souporaba,dinamicni,1.0,0.05,brez baterije,2,True,,souporaba,dinamicni,1.0,0.05,16718.36564355159,8724.06,8724.06,-6.912287582594434e-14,90915.52,22361.747000000003,0.0,12.028,114.512,23.03742814064026,0.0,0.0,0.0,B,0.0
Redni,skupnostna_samooskrba,dinamicni,1.0,0.05,brez baterije,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,15880.945364117391,8724.06,8724.06,-9.857227339059303e-15,90915.52,22361.747000000003,0.0,12.028,114.512,22.832342624664307,0.0,0.0,0.0,B,0.0
Redni,individualno,dinamicni,1.0,0.05,optimalna baterija,2,True,,individualno,dinamicni,1.0,0.05,16591.99978263159,0.0,0.0,0.0,90915.52,22361.747000000003,0.0,12.028,114.512,16.38268780708313,0.0,0.0,0.0,A,0.0
Redni,souporaba,dinamicni,1.0,0.05,optimalna baterija,2,True,,souporaba,dinamicni,1.0,0.05,16718.36564355159,8724.06,8724.06,-6.912287582594434e-14,90915.52,22361.747000000003,0.0,12.028,114.512,23.22546911239624,0.0,0.0,0.0,B,0.0
Redni,skupnostna_samooskrba,dinamicni,1.0,0.05,optimalna baterija,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,15880.945364117391,8724.06,8724.06,-9.857227339059303e-15,90915.52,22361.747000000003,0.0,12.028,114.512,22.86015033721924,0.0,0.0,0.0,B,0.0
Redni,individualno,dinamicni,1.0,0.05,10 kWh pri vsakem,2,True,,individualno,dinamicni,1.0,0.05,15389.496161921208,0.0,0.0,0.0,82956.251797773,11940.322141487935,0.0,9.924,100.896,93.48481369018556,0.0,0.0,0.0,A,160.0
Redni,souporaba,dinamicni,1.0,0.05,10 kWh pri vsakem,2,True,,souporaba,dinamicni,1.0,0.05,15539.906896902148,10276.79678048722,10276.796771503312,-8.983907117021938e-06,82720.61462821571,11783.233735256572,0.0,9.924,100.896,197.446475982666,0.0,0.0,0.0,B,160.0
Redni,skupnostna_samooskrba,dinamicni,1.0,0.05,10 kWh pri vsakem,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,14686.29051680444,11302.41883057517,11302.41883057517,-7.382874693540042e-15,83635.9837962433,12808.85751418462,0.0,9.924,101.48,197.6154203414917,0.0,0.0,0.0,B,160.0
Aktivni,individualno,dinamicni,1.0,0.05,brez baterije,2,True,,individualno,dinamicni,1.0,0.05,18436.67081079159,0.0,0.0,0.0,90915.52,22361.747000000003,0.0,12.028,114.512,16.591307401657104,0.0,0.0,0.0,A,0.0
Aktivni,souporaba,dinamicni,1.0,0.05,brez baterije,2,True,,souporaba,dinamicni,1.0,0.05,18838.06926581159,8724.06,8724.06,-6.90812424625209e-14,90915.52,22361.747000000003,0.0,12.028,114.512,24.066082239151,0.0,0.0,0.0,B,0.0
Aktivni,skupnostna_samooskrba,dinamicni,1.0,0.05,brez baterije,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,18000.64898637739,8724.06,8724.06,-9.857227339059303e-15,90915.52,22361.747000000003,0.0,12.028,114.512,23.84059715270996,0.0,0.0,0.0,B,0.0
Aktivni,individualno,dinamicni,1.0,0.05,optimalna baterija,2,True,,individualno,dinamicni,1.0,0.05,16743.977363051978,0.0,0.0,0.0,87371.55188538368,17430.752360052495,0.0,10.76,113.1273684,30.598279237747192,0.0,0.0,0.0,A,37.5
Aktivni,souporaba,dinamicni,1.0,0.05,optimalna baterija,2,True,,souporaba,dinamicni,1.0,0.05,17095.796455593547,10691.9347179815,10691.93471810286,1.2135993874172934e-07,90602.80026334376,20601.22436203094,0.0,10.76,113.1273684,40.52000403404236,0.0,0.0,0.0,B,37.5
Aktivni,skupnostna_samooskrba,dinamicni,1.0,0.05,optimalna baterija,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,16238.061311611502,10837.8037485256,10837.8037485256,-2.1735414303895167e-14,90602.86896151707,20615.502547450586,0.0,10.76,113.1273684,40.79612183570862,0.0,0.0,0.0,B,37.5
Aktivni,individualno,dinamicni,1.0,0.05,10 kWh pri vsakem,2,True,,individualno,dinamicni,1.0,0.05,13465.996636068863,0.0,0.0,0.0,92424.62448175409,18986.28195888031,0.0,10.76,113.199816,93.26465463638306,0.0,0.0,0.0,A,160.0
Aktivni,souporaba,dinamicni,1.0,0.05,10 kWh pri vsakem,2,True,,souporaba,dinamicni,1.0,0.05,14123.593754979756,2831.351515502306,2831.351514089343,-1.4129633662656458e-06,92805.52938735666,19338.04255362449,0.0,10.76,112.9523128,126.97767782211304,0.0,0.0,0.0,B,160.0
Aktivni,skupnostna_samooskrba,dinamicni,1.0,0.05,10 kWh pri vsakem,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,13339.072660202635,2911.4825990282898,2911.48259902829,9.497026578239411e-16,92804.62964973415,19345.02499023218,0.0,10.76,112.9523128,126.83056640625,0.0,0.0,0.0,B,160.0
Dinamični,individualno,dinamicni,1.0,0.05,brez baterije,2,True,,individualno,dinamicni,1.0,0.05,16657.072994821192,0.0,0.0,0.0,90924.865,18257.222,4113.87,12.028,114.512,17.70753788948059,0.0,0.0,0.0,A,0.0
Dinamični,souporaba,dinamicni,1.0,0.05,brez baterije,2,True,,souporaba,dinamicni,1.0,0.05,17155.693087923988,8148.470000000001,8148.47,-6.181687106643352e-14,90924.865,19218.78899999999,3152.303,12.028,114.512,25.510368824005127,0.0,0.0,0.0,B,0.0
Dinamični,skupnostna_samooskrba,dinamicni,1.0,0.05,brez baterije,2,True,,skupnostna_samooskrba,dinamicni,1.0,0.05,16322.637691108792,8282.494999999999,8282.494999999999,-1.1489087133921551e-14,90924.865,19346.422,3024.67,12.028,114.512,23.775027990341187,0.0,0.0,0.0,B,0.0
Redni,souporaba,staticni,0.0,0.05,brez baterije,2,True,,souporaba,staticni,0.0,0.05,17350.74218263159,0.0,0.0,0.0,90915.52,22361.747000000003,0.0,12.028,114.512,20.723357915878296,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,0.1,0.05,brez baterije,2,True,,souporaba,staticni,0.1,0.05,17241.79067888347,1844.465679047722,2236.1747000000005,391.70902095227814,90915.52,22361.747000000003,0.0,12.028,114.512,22.442192316055294,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,0.2,0.05,brez baterije,2,True,,souporaba,staticni,0.2,0.05,17215.76406712237,3087.8044365785386,4472.349400000001,1384.5449634214615,90915.52,22361.747000000003,0.0,12.028,114.512,22.374645233154297,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,0.3,0.05,brez baterije,2,True,,souporaba,staticni,0.3,0.05,17237.963959691424,3982.229617811018,6708.5241000000005,2726.2944821889814,90915.52,22361.747000000003,0.0,12.028,114.512,21.883182287216187,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,0.4,0.05,brez baterije,2,True,,souporaba,staticni,0.4,0.05,17286.838047777153,4683.4744985987845,8944.698800000002,4261.2243014012165,90915.52,22361.747000000003,0.0,12.028,114.512,21.72545313835144,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,0.5,0.05,brez baterije,2,True,,souporaba,staticni,0.5,0.05,17352.13230231947,5265.682466550534,11180.873500000002,5915.191033449466,90915.52,22361.747000000003,0.0,12.028,114.512,21.567633390426636,0.0,0.0,0.0,C,0.0
