Dataset,Household,Option,Paket_ID,Variant,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power,Per_Group
Fluvius,1,BISOL_DINAMICNI,BISOL_DINAMICNI,-,538.2017328264,369.4820882174,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,562.064264978,369.4820882174,186.9040051986,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,552.6536572604,383.93401265140005,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,549.3276322603999,380.6079876514,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_FIKSNI99@2T,BISOL_FIKSNI99,2T,509.18518780039994,340.4655431914,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_FIKSNI99@1T,BISOL_FIKSNI99,1T,499.81373950039995,331.0940948914,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_FIKSNI_VEZAVA@2T,BISOL_FIKSNI_VEZAVA,2T,522.3951672403999,353.6755226314,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,BISOL_FIKSNI_VEZAVA@1T,BISOL_FIKSNI_VEZAVA,1T,516.3183704204,347.5987258114,163.04147304699998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,ELEN_DINAMICNA,ELEN_DINAMICNA,-,529.8058279316999,353.32720069979996,170.8004556699,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,551.6249107614,389.4930816094,156.45365758999998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,547.9662832613999,385.8344541094,156.45365758999998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,537.8710516613999,375.73922250939995,156.45365758999998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,534.2124241614,372.08059500940004,156.45365758999998,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,GENI_AKTIVNI,GENI_AKTIVNI,-,518.6961392592,359.3458324094,153.6721352878,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,GENI_DINAMICNI,GENI_DINAMICNI,-,527.0243053413999,353.32720069979996,168.0189330796,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,GENI_FIKSNI@2T,GENI_FIKSNI,2T,535.0895293591999,375.73922250939995,153.6721352878,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,GENI_FIKSNI@1T,GENI_FIKSNI,1T,531.4309018592,372.08059500940004,153.6721352878,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,GENI_REDNI@2T,GENI_REDNI,2T,521.3356702591999,361.98536340939995,153.6721352878,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,GENI_REDNI@1T,GENI_REDNI,1T,517.6770427592,358.3267359094001,153.6721352878,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,PETROL_AKCIJSKI@2T,PETROL_AKCIJSKI,2T,538.3845725442,364.54107132039996,168.1653296618,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,PETROL_AKCIJSKI@1T,PETROL_AKCIJSKI,1T,535.0585475442,361.2150463204,168.1653296618,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,PETROL_FIKS2026@2T,PETROL_FIKS2026,2T,546.9694905041999,373.1259892804,168.1653296618,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,PETROL_FIKS2026@1T,PETROL_FIKS2026,1T,543.3108630042,369.4673617804,168.1653296618,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,PETROL_REDNI@2T,PETROL_REDNI,2T,560.3907471041999,386.54724588039994,168.1653296618,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,1,PETROL_REDNI@1T,PETROL_REDNI,1T,557.0647221042001,383.2212208804001,168.1653296618,5.678171562,2254.731,prev1m_cyclic_unbounded,5
Fluvius,2,BISOL_DINAMICNI,BISOL_DINAMICNI,-,572.1114490589,376.7614306438,189.46638541509998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,595.9739794162,376.7614306438,213.3289157724,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,620.8045592591001,425.4545408440001,189.46638541509998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,619.2983472591001,423.948328844,189.46638541509998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
