dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,regret_prophet_usd,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct
Ausgrid 127,30.77675704985017,17.895551609194086,18.623161200645505,173.87850000000003,187.012486001,187.10842918372998,6.422000000000001,3.4540000000000015,3.440072540000001,0.7276095914514187,41.85368009953729,39.48952720885786
Ausgrid 65,56.293603092454454,33.40466923601356,35.502629298188594,294.9585,295.0800697695,298.76671469448354,19.016000000000002,1.7260000000000026,4.5384790763500025,2.0979600621750336,40.659919776051616,36.93310190168422
Ausgrid 148,60.884150078612464,34.4302180163506,35.50772996321255,320.9065,306.590565362,321.56196329964996,33.53,3.1875612550000008,13.812838760850001,1.0775119468619465,43.44962034963952,41.679846204035634
Ausgrid 223,69.4424499543918,36.688184023775776,36.85484655192903,281.3805,290.09298374087484,289.60434168215,13.217500000000001,0.7935000000000013,0.7935000000000013,0.16666252815325322,47.167497621596404,46.92749668807129
Ausgrid 179,56.24669015781957,29.767898261358425,30.122219938823406,264.56649999999996,276.51193079537495,275.554169142,8.8335,1.6465000000000014,1.6465000000000014,0.35432167746498067,47.076177855382646,46.446235584164896
Ausgrid 261,31.71269668761753,17.985384988558682,20.019734831674654,181.637,181.52286569609998,188.28110300315,14.525500000000001,2.8280000120000013,7.0282200333,2.0343498431159723,43.2864850134892,36.871546974144536
Ausgrid 142,27.915141283127774,13.411377255269112,14.664236513498167,172.805,138.1574152426123,149.68037674413142,52.872,3.8325000000000014,16.4870289693,1.252859258229055,51.95662053347693,47.46852124169116
Ausgrid 128,46.366452659898314,22.92347194784217,23.831277186787403,224.957,241.198128435,238.260964832,7.407,4.958273750000002,4.350037300000002,0.9078052389452331,50.56022051980622,48.60232814963924
Ausgrid 168,24.535358346119416,11.648831336461521,12.230790309654289,132.505,127.1500262895,129.5012707891,22.1215,4.084500000000001,7.283106514600001,0.5819589731927675,52.52226940347935,50.15034980490209
Ausgrid 249,76.09652577510124,40.80940499616989,40.88483318545907,338.8855,350.48633088584944,350.42343740847116,10.358999999999998,0.9415000000000019,1.1478761850000019,0.07542818928918393,46.37152671492565,46.27240498956317
Ausgrid 81,4.851869154669478,1.1505872232799033,1.2450777865058942,59.858999999999995,27.238306671500002,28.521191966674998,44.524,9.654556252799999,11.453253986499998,0.09449056322599092,76.28569141909837,74.3381829390922
Ausgrid 104,69.79249615679647,47.605389868978634,47.7514694544085,440.483,453.591535972,453.99773291049996,9.3505,1.7697087500000013,2.6942077550000008,0.14607958542986665,31.79010281846358,31.58079724340336
Ausgrid 172,49.5040213163988,27.419958196435786,27.51092226296459,258.534,266.2054537943752,266.4871713065,11.012,1.5855000000000012,2.155699220000001,0.09096406652880518,44.61064481775221,44.426893954468966
Ausgrid 29,61.37572682730485,34.70852641406135,34.810471080440124,291.4245,308.937597977,308.5393728725,4.008,0.5369900000000011,0.7725000000000013,0.10194466637877042,43.44909916631698,43.282999843916095
Ausgrid 27,39.913936883311365,23.644770128509947,24.080286275163793,226.82550000000003,227.38833791410002,232.90316692559998,16.854,2.6198122500000007,8.511465363900001,0.4355161466538462,40.760616529420346,39.669478494284704
Ausgrid 156,61.36364478911927,39.726043207476515,39.875598348382596,343.414,353.4683089862499,352.84354108807497,12.8865,1.6659375000000012,1.6834999785315798,0.1495551409060809,35.26127181004646,35.01755235462617
Ausgrid 180,76.98143416570892,43.33211262100242,43.38901535980412,332.246,339.7144237085,338.87200320546503,12.8525,0.8545000000000011,0.854500000000001,0.05690273880169627,43.71095694615606,43.63703946278051
Ausgrid 21,45.515389162446375,25.388353603514947,25.89159202542057,239.4255,247.69682903999998,245.52475095800003,14.082999999999998,5.162000000000001,4.2749934000000005,0.5032384219056247,44.220286653151916,43.114642098275006
Ausgrid 290,32.133301320853455,17.67747258858565,18.03500701546293,167.803,184.85903384,180.64222430132583,4.9510000000000005,5.490000000000002,5.744819640000001,0.35753442687727954,44.98706369421946,43.874403580939244
Ausgrid 66,20.98232999955473,10.196669259354035,10.611711950372909,117.281,116.94589611399999,114.89614509915,17.7085,5.9800000115000005,5.942679300000001,0.4150426910188738,51.403541648756736,49.42548348730526
Ausgrid 240,52.67461154021581,29.55373791302451,31.209753518648693,282.8885,298.8995316277506,299.822085453,4.907,3.3065000000000024,2.572712855000001,1.6560156056241837,43.893771498512265,40.74991232764803
Ausgrid 113,43.605058640125094,24.072689608539537,25.392719722559534,238.81,235.15661278637498,242.9973584075,21.872500000000002,0.5555000000000015,5.560415980450001,1.3200301140199961,44.793814389259865,41.76657361677455
Ausgrid 67,29.940456759565315,11.82712739559473,13.124984260381762,191.41500000000002,131.627613591,143.086418768,80.8535,5.176000020700002,18.1289301545,1.2978568647870325,60.497839125930426,56.163045988974034
Ausgrid 5,21.65447717849151,12.058380948006054,12.720222524308443,126.78650000000002,134.712229927,129.86092328360374,10.1245,5.334000001,5.0229909500000005,0.6618415763023897,44.31460594216913,41.258233022855386
Ausgrid 158,30.24887543096885,6.9103767215791665,11.576185878706253,161.257,82.8994994395,72.34161897692499,102.2675,6.876500003350005,4.375978752500003,4.665809157127087,77.15493014823186,61.7301942178831
Ausgrid 1,41.58402496642946,19.69890471453115,22.020319019270175,258.753,200.897536798,224.91340746650002,82.2575,4.911927501000003,30.952292232500003,2.321414304739026,52.62867235570881,47.046205755582704
