Timestamp,Price_SMP,Buy_Rate_USD_kWh,Sell_Rate_USD_kWh,Solar_Gen,Consumption,SoC_kWh,SoC_Planned,SoC_Deviation,Charge_kW,Discharge_kW,Buy_kW,Sell_kW,Step_Cost_USD,Reoptimized
2012-06-30 00:30:00+00:00,0.019557,0.09357132950000001,0.033064845,0.0,0.078,4.958947368421053,4.9589474,0.0,0.0,0.078,0.0,-0.0,0.0,1
2012-06-30 01:00:00+00:00,0.0191019,0.09272495265000001,0.0322954115,0.0,0.036,4.94,4.94,3.157894656879989e-08,0.0,0.036,0.0,-0.0,0.0,1
2012-06-30 01:30:00+00:00,0.0182901,0.09121519935000001,0.030922908499999995,0.0,0.072,4.902105263157895,4.9021053,0.0,0.0,0.072,0.0,-0.0,0.0,1
2012-06-30 02:00:00+00:00,0.01545495,0.085942500325,0.026129545749999997,0.0,0.064,4.902105263157895,4.9021053,3.684210447829628e-08,0.0,0.0,0.064,0.0,0.0027501600104,1
2012-06-30 02:30:00+00:00,0.0112791,0.07817642085000001,0.0190694735,0.0,0.036,5.1500000016578955,5.15,3.684210447829628e-08,0.52188366,0.0,0.55788366,0.0,0.02180667389474916,1
2012-06-30 03:00:00+00:00,0.0105534,0.07682679290000001,0.017842538999999998,0.0,0.07,5.862500001657896,5.8625,1.6578951544943266e-09,1.5,0.0,1.57,0.0,0.06030903242650001,1
2012-06-30 03:30:00+00:00,0.01114995,0.077936232825,0.01885112075,0.0,0.066,6.575000001657896,6.575,1.6578960426727463e-09,1.5,0.0,1.566,0.0,0.06102407030197501,1
2012-06-30 04:00:00+00:00,0.01064565,0.07699835577500001,0.017998505249999998,0.0,0.09,7.287500001657897,7.2875,1.6578960426727463e-09,1.5,0.0,1.59,0.0,0.06121369284112501,1
2012-06-30 04:30:00+00:00,0.0095325,0.07492816375000001,0.0161165125,0.0,0.066,8.0,8.0,1.657896930851166e-09,1.5,0.0,1.566,0.0,0.05866875221625001,1
2012-06-30 05:00:00+00:00,0.0081918,0.1219347833,0.013849803,0.0,0.1,8.0,8.0,0.0,0.0,0.0,0.1,0.0,0.006096739165,1
2012-06-30 05:30:00+00:00,0.0119925,0.12900317375,0.020275612499999998,0.0,0.052,8.0,8.0,0.0,0.0,0.0,0.052,0.0,0.0033540825175,1
2012-06-30 06:00:00+00:00,0.01367145,0.132125618075,0.02311419825,0.0,0.052,8.0,8.0,0.0,0.0,0.0,0.052,0.0,0.00343526606995,1
2012-06-30 06:30:00+00:00,0.01389285,0.132537368975,0.023488517249999997,0.0,0.11,8.0,8.0,0.0,0.0,0.0,0.11,0.0,0.007289555293624999,1
2012-06-30 07:00:00+00:00,0.0148953,0.13440168554999998,0.0251833505,0.0,2.986,8.0,8.0,0.0,0.0,0.0,2.986,0.0,0.20066171652615,1
2012-06-30 07:30:00+00:00,0.0171954,0.1386793199,0.029072109,0.0,3.848,8.0,8.0,0.0,0.0,0.0,3.848,0.0,0.26681901148759996,1
2012-06-30 08:00:00+00:00,0.018204,0.140555074,0.03077734,0.0,4.258,8.0,8.0,0.0,0.0,0.0,4.258,0.0,0.299241752546,1
