Timestamp,Price_SMP,Buy_Rate_USD_kWh,Sell_Rate_USD_kWh,Solar_Gen,Consumption,SoC_kWh,SoC_Planned,SoC_Deviation,Charge_kW,Discharge_kW,Buy_kW,Sell_kW,Step_Cost_USD,Reoptimized
2012-06-30 00:30:00+00:00,0.019557,0.09357132950000001,0.033064845,0.0,0.204,4.749817884210526,4.7498179,0.0,0.0,0.47534602,0.0,0.27134601999999997,-0.004486007046333449,1
2012-06-30 01:00:00+00:00,0.0191019,0.09272495265000001,0.0322954115,0.0,0.178,4.540010584210527,4.5400106,1.5789473728489156e-08,0.0,0.39863387,0.0,0.22063387,-0.003562730811243753,1
2012-06-30 01:30:00+00:00,0.0182901,0.09121519935000001,0.030922908499999995,0.0,0.202,4.4375,4.4375,1.5789472840310737e-08,0.0,0.19477011,0.007229890000000017,0.0,0.00032973792881428653,1
2012-06-30 02:00:00+00:00,0.01545495,0.085942500325,0.026129545749999997,0.0,0.194,4.4375,4.4375,0.0,0.0,0.0,0.194,0.0,0.008336422531525,1
2012-06-30 02:30:00+00:00,0.0112791,0.07817642085000001,0.0190694735,0.0,0.18,5.15,5.15,0.0,1.5,0.0,1.68,0.0,0.06566819351400001,1
2012-06-30 03:00:00+00:00,0.0105534,0.07682679290000001,0.017842538999999998,0.0,0.212,5.862500000000001,5.8625,0.0,1.5,0.0,1.712,0.0,0.0657637347224,1
2012-06-30 03:30:00+00:00,0.01114995,0.077936232825,0.01885112075,0.0,0.176,6.575000000000001,6.575,8.881784197001252e-16,1.5,0.0,1.676,0.0,0.06531056310735,1
2012-06-30 04:00:00+00:00,0.01064565,0.07699835577500001,0.017998505249999998,0.0,0.216,7.287500000000001,7.2875,8.881784197001252e-16,1.5,0.0,1.716,0.0,0.06606458925495001,1
2012-06-30 04:30:00+00:00,0.0095325,0.07492816375000001,0.0161165125,0.0,0.15,8.0,8.0,1.7763568394002505e-15,1.5,0.0,1.65,0.0,0.061815735093750004,1
2012-06-30 05:00:00+00:00,0.0081918,0.1219347833,0.013849803,0.0,0.272,8.0,8.0,0.0,0.0,0.0,0.272,0.0,0.016583130528800002,1
2012-06-30 05:30:00+00:00,0.0119925,0.12900317375,0.020275612499999998,0.0,0.218,8.0,8.0,0.0,0.0,0.0,0.218,0.0,0.01406134593875,1
2012-06-30 06:00:00+00:00,0.01367145,0.132125618075,0.02311419825,0.0,0.26,8.0,8.0,0.0,0.0,0.0,0.26,0.0,0.01717633034975,1
2012-06-30 06:30:00+00:00,0.01389285,0.132537368975,0.023488517249999997,0.0,0.234,8.0,8.0,0.0,0.0,0.0,0.234,0.0,0.015506872170074999,1
2012-06-30 07:00:00+00:00,0.0148953,0.13440168554999998,0.0251833505,0.0,0.172,8.0,8.0,0.0,0.0,0.0,0.172,0.0,0.011558544957299998,1
2012-06-30 07:30:00+00:00,0.0171954,0.1386793199,0.029072109,0.0,0.214,8.0,8.0,0.0,0.0,0.0,0.214,0.0,0.014838687229299999,1
2012-06-30 08:00:00+00:00,0.018204,0.140555074,0.03077734,0.05,0.16,8.0,8.0,0.0,0.0,0.0,0.11,0.0,0.0077305290700000005,1
2012-06-30 08:30:00+00:00,0.0197415,0.14341445525,0.033376777499999996,0.15,0.204,7.926281315789474,7.9262813,0.0,0.0,0.1400655,0.0,0.08606550000000002,-0.0014362945219631251,1
2012-06-30 09:00:00+00:00,0.0208485,0.14547320975,0.03524837249999999,0.238,0.168,7.856354215789474,7.8563542,1.5789473728489156e-08,0.0,0.13286149,0.0,0.20286148999999998,-0.0035752686827125115,1
2012-06-30 09:30:00+00:00,0.0212544,0.1462280864,0.035934624,0.35,0.19,7.789592978947368,7.789593,1.5789473728489156e-08,0.0,0.12684635,0.0,0.28684634999999997,-0.005153857866511199,1
2012-06-30 10:00:00+00:00,0.0207747,0.14533595945,0.0351235995,0.426,0.18,7.726896068421053,7.7268961,2.105263163798554e-08,0.0,0.11912413,0.0,0.36512413,-0.006412236854952967,1
