dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,efc_no_battery,cost_self_consumption,efc_self_consumption,cost_fixed_schedule,efc_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,cost_price_threshold,efc_price_threshold,cost_price_rank_daily,efc_price_rank_daily,cost_tariff_arbitrage,efc_tariff_arbitrage,cost_price_oracle,efc_price_oracle,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,regret_prophet,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct,baseline_positive
Ausgrid 138,957.5252205267349,713.2436966543112,867.6574353721228,5965.689,5489.885275976444,6720.335445715793,2546.1800000000003,1835.3688808106729,3035.2018012481244,712.9646933325149,712.9646933325149,0.0,705.3016666664521,0.27900332179631915,7.078,232.1562286510234,867.3265492293035,867.3265492293035,0.0,705.3016666664521,0.33088614281932077,6.598842100000001,262.57877365664615,0.0,895.0909839345418,63.37994450000033,776.7625933710295,167.22777674999878,898.758808297988,60.29639404779025,882.7346398953935,112.02647724999986,844.4172785926042,140.97930199999976,853.6162887431667,145.2563979800157,884.7843599866063,105.32243324999975,0.30861090242347333,0.6575908538112655,0.6671550060423359,-0.7345622647147196,0.04511866730469661,0.28774230396601186,0.6674354709237289,1.0700318060344314,0.7825185855313908,-0.08273707412018116,0.4641998848579466,0.23064576191704084,154.4137387178116,25.51175871253233,9.385422256050425,True
Ausgrid 127,680.027782673157,473.6051242547078,599.6557039235618,3740.375,3728.858760392558,4686.943969876611,285.355,17.208947501000043,979.545498732781,473.2621498972644,473.2621498972644,0.0,705.3016666664521,0.342974357443403,4.912000000000001,253.95212548449544,599.3631039246535,599.3631039246535,0.0,705.3016666664521,0.29259999890826216,4.634,249.23660343465968,0.0,652.0840931809458,26.133288749999974,514.7930485857789,215.4235250000002,652.0840931809458,26.133288749999974,598.5248635521385,137.4298327500001,575.1766270315575,173.6851579999996,580.7423844990755,181.74006546560233,599.160316760869,134.27125149999986,0.08013492553722991,0.13953933713319208,0.45224705416998223,-0.12718389098170912,0.06947340273968435,0.07311385751109033,0.2735038987884907,0.4382360581855232,0.4784870341235,0.2118188467218709,0.29098187709943346,0.28563584348221766,126.05057966885397,30.35503308512066,11.81894046058772,True
Ausgrid 65,894.4032142270498,620.5409336325524,791.5694336404066,4949.204,4454.4624960069505,5813.972775246089,790.739,28.5793544439508,1383.978069593853,620.2483336336442,620.2483336336442,0.0,705.3016666664521,0.29259999890826216,8.11,263.89064128588933,791.2768336414983,791.2768336414983,0.0,705.3016666664521,0.29259999890826216,8.11,267.8967807551322,0.0,818.0879173597826,71.74419474999988,676.9445795475505,230.3074157499994,818.1665081040311,71.69521807801831,776.7173692458164,152.50098900000035,735.2531118606842,194.44456775000018,767.3757838228121,187.4311252138409,780.0602881119843,149.64948650000002,0.12969488741287122,0.22045478086102466,0.5026157484870136,-0.18204124168762426,0.1116683700246003,0.1214322019330533,0.4121628201336797,0.6427877179251416,0.562487292105312,-0.06287384223775994,0.7781527383312405,0.7550293319134631,171.02850000785418,30.619554607836616,11.4974743997888,True
Ausgrid 148,1174.5987436492196,803.3274623429947,1007.8385731915588,6218.915000000001,5568.102135360543,6875.302868730152,988.8919999999999,34.144185935825035,1364.2841651789122,803.0348623440865,803.0348623440865,0.0,705.3016666664521,0.29259999890826216,6.572,299.4711207571092,1007.5459731926505,1007.5459731926505,0.0,705.3016666664521,0.29259999890826216,6.572,277.12006084944164,0.0,1081.298866701781,89.24803975000019,900.311503239261,261.51012050000134,1081.3171031538423,89.23087962976828,1035.2155435636703,165.3900115000004,971.8423329147819,213.69811275000075,1016.5255757014398,193.03517908020055,1038.1684620022543,160.5448217500002,0.10728058547792114,0.1884634955935218,0.47320065920675314,-0.09885987253322392,0.0916777472084846,0.09612841941132047,0.581038148817154,0.825127532513945,0.705359734518455,-0.2216909090477257,0.9313615046007782,0.6796376489183714,204.51111084856404,31.60834994193564,14.197203203161422,True
Ausgrid 223,720.8107669077259,455.17444943587026,606.1753568574444,3304.7740000000003,2869.8187677496226,4199.592150814254,723.391,66.11885117770004,1365.145657748962,454.881849436962,454.881849436962,0.0,705.3016666664521,0.29259999890826216,6.06,219.94585786476827,605.8827568585361,605.8827568585361,0.0,705.3016666664521,0.29259999890826216,6.06,249.90406073749645,0.0,642.0878698904459,64.5855217499998,504.27466184483706,188.7443387500004,642.4551547589599,64.39202813806244,574.1800733922113,138.51172100000014,522.6586342854218,177.48946650000053,559.2650474480074,166.74066759751142,576.2730464774477,138.2832812500002,0.07064249316081808,0.1276286603957924,0.4728095279522248,-0.15417715491671657,0.048348657783971544,0.053649613559485894,0.37350180871809724,0.5939906201148273,0.8410527038661184,-0.12210904294751757,0.6724366540388061,0.45620528600956317,151.00090742157414,36.852434739763105,15.903676153738207,True
Ausgrid 179,641.111577935217,437.86106849739383,574.0849956370563,3448.159,3285.141316300007,4382.826688268198,403.714,24.079252518000033,1113.1212721041209,437.5684684984856,437.5684684984856,0.0,705.3016666664521,0.29259999890826216,4.2620000000000005,214.39215523330512,573.792395638293,573.792395638293,0.0,705.3016666664521,0.2925999987633616,4.65,222.8138832270236,0.0,602.427784520557,36.81518850000009,479.5473259221534,193.8469302499993,602.427784520557,36.81518850000009,544.5457601876928,136.31925625000065,518.2271601877065,168.5133117499998,533.1075190003379,157.45283095871068,547.2121594406267,131.7664265000004,0.07701407357800488,0.13498759918054262,0.5099201946304772,-0.15704970319844347,0.05987152242533001,0.06745419629714301,0.33112039163028184,0.5036762073184097,0.6641388861319334,-0.10219877426556612,0.6725990927077408,0.5963783132379761,136.22392713966246,31.702829340942152,10.454745258856274,True
Ausgrid 261,455.43189589267354,286.4801962037364,432.5074793379792,2636.215,2311.8434851470392,3285.6139340588793,530.0060000000001,33.40888581760003,999.6729577180872,286.1875962050402,286.1875962050402,0.0,705.3016666664521,0.2925999986961597,6.1,171.1389334075114,432.21487933907093,432.21487933907093,0.0,705.3016666664521,0.29259999890826216,6.1,178.45283920892967,0.0,406.3727777868762,48.21304150000012,329.0854564113341,161.05565549999935,406.3727777868762,48.21304150000012,378.56876413664264,114.92030124999943,356.7642792498298,146.86150124999944,383.0965073011756,112.33891249648192,381.0519832452223,108.45399874999941,0.07967313937968022,0.13776248391646365,0.4858023572363265,-0.14750887585885808,0.06339420145707696,0.06721957372374625,0.2782738730018862,0.45409885098892233,0.6880507360251353,-0.15359510840466495,0.4229532735665795,0.36877399342578515,146.0272831342428,37.097028383965466,5.033555348546928,True
Ausgrid 142,433.22839584264597,191.41904517533888,347.209100978906,3082.336,1673.6710927245144,2929.139116998574,2034.358,388.78671433264697,1638.3857728554442,191.07607081789547,191.07607081789547,0.0,705.3016666664521,0.342974357443403,4.948,234.7344199908668,346.86612662300416,346.86612662300416,0.0,705.3016666664521,0.3429743559018231,4.948,240.4528994763572,0.0,274.58366377680767,151.8776704999996,283.50043929572513,205.23158649999942,277.7741578267593,149.53485093006762,321.0435686806756,158.4357079999995,285.73230877680265,212.60606999999885,330.9160082132517,165.82917928469627,316.0718430189369,159.48445049999933,0.16837996316875992,0.29188876515274614,0.48586982629292896,-0.11867985717258267,0.14593355298194324,0.15687198532594998,0.2919971318073623,0.4512103790131103,0.6263534920599438,0.09717108759265347,0.5294599914847917,0.43652982543466345,155.79005580356713,55.81567436201372,19.85541476255939,True
Ausgrid 128,811.1937886428742,570.1273517038852,709.386551201924,4365.071,4458.147563582177,5273.986525443148,187.64,17.02718750400005,858.5679524101553,569.834751704977,569.834751704977,0.0,705.3016666664521,0.29259999890826216,5.165778400000001,260.2574852073065,709.093951203264,709.093951203264,0.0,705.3016666664521,0.2925999986599324,5.4108421,235.21470282004475,0.0,792.8292675007064,17.31451,622.9563032472136,212.49935750000003,792.8292675007064,17.31451,714.0712420840038,138.76732174999998,683.5378920291196,169.70461549999985,691.439276549149,180.76887697742703,714.5209727119006,135.61354099999946,0.09955653140997096,0.17338398870827965,0.4937285594152952,-0.175412876822149,0.07534080899846295,0.09146446719834554,0.3262198613220356,0.4465470816027037,0.48078296912254065,-0.6120364238311067,0.275031637244874,0.3571874887854748,139.2591994980388,29.71749048304385,12.55029795177223,True
Ausgrid 168,404.92578829078434,209.32216559736165,349.07867176545693,2330.559,1770.2415115237714,2859.297007471608,782.124,30.84131382440004,1113.652961440077,209.0295655984534,209.0295655984534,0.0,705.3016666664521,0.29259999890826216,3.936,189.39802920251833,348.7860717665487,348.7860717665487,0.0,705.3016666664521,0.29259999890826216,3.1156162654,195.48177890728115,0.0,328.58513356672347,70.96669100000008,254.2351872899346,179.41068500000117,328.58513356672347,70.96669100000008,308.24170179912477,129.71367575,273.79756119412093,167.88308775000021,313.7717954347638,136.56076496471806,304.24630884421475,128.16308799999996,0.08835367661835339,0.15135433439707663,0.47160780574133204,-0.14239819923568686,0.07266374386374719,0.07989213578661263,0.2231349576629464,0.32561138083378477,0.6128268896364856,-0.08257109879041802,0.2921409433174396,0.2591739975494378,139.75650616809529,48.306042329157926,13.791938705870374,True
