controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,295.5339048137975,295.5339048137975,0.0,282.20236582389873,13.331538989999999,147.0385154201167,442.5724202339142,4.0,0.0,0.0,0.0,0.0,3448.1590000000538,403.71399999999926,4.938,0.0,0,0.0,0.7214269638061523,1,True
self_consumption,Self-consumption,True,273.17381656759966,273.51679092504304,0.342974357443403,260.8958522227999,12.277964344999997,145.04789433138458,418.56468525642765,0.0,403.71399999999926,368.1518850000009,0.0,0.0,3080.0071150000426,1.1102230246251565e-16,4.838,36.81518850000009,0,5.551115123125783e-17,1.4650249481201172,2,True
fixed_schedule,Fixed schedule,True,287.0805111906993,287.2275727285044,0.14706153780509076,268.5327096636996,18.547801527,119.77221813770701,406.9997908662114,2.2848684210526313,2133.4287761772844,1927.0488454999931,1784.982175069251,0.0,3306.0923295692805,55.26739889196678,4.826,192.70488454999932,0,5.551115123125783e-17,2.9545862674713135,4,True
delayed_pv_charge,Delayed PV charge,True,273.17381656759966,273.51679092504304,0.342974357443403,260.8958522227999,12.277964344999997,145.04789433138458,418.56468525642765,0.0,403.71399999999926,368.1518850000009,0.0,0.0,3080.0071150000426,1.1102230246251565e-16,4.838,36.81518850000009,0,5.551115123125783e-17,1.4665849208831787,2,True
price_threshold,Price threshold,True,281.5273444074997,281.30901415206404,-0.21833025543568216,268.5800892050995,12.947255202599997,141.59921553500925,422.9082296870733,6.546315789473685,1504.7663489537392,1355.6326299307564,1275.6410459066487,0.0,3368.167415975925,174.58869695290906,4.838,135.56326299307563,0,1.1102230246251565e-16,2.2287087440490723,3,True
price_rank_daily,Day-ahead price rank,True,276.6161075753993,276.9098809074213,0.2937733320219991,262.7422606457998,13.873846929599999,134.0520575930238,410.9619385004451,0.573815789473683,1856.2168960955667,1678.4906237262473,1536.5379598074799,0.0,3306.2063360812554,84.03506371191142,4.838,167.84906237262473,0,1.1102230246251565e-16,2.194692850112915,3,True
peak_shaving,Peak shaving,True,287.9196800622983,287.6624492942158,-0.2572307680825523,277.76131871409854,10.158361348099998,117.46460865119579,405.1270579454116,7.000000000000001,198.227790697529,176.05058110451992,113.08687937792752,0.0,3385.1952982734283,318.5730886803988,4.430248800000132,17.605058110451992,0,0.0,2.3560030460357666,3,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,272.49320052919956,272.53607232388,0.04287179468042533,261.2562568348997,11.236943694400003,120.08745777428022,392.6235300981602,3.5000000000000004,541.046602319369,488.76955859323135,137.33260231937038,0.0,3096.7220437261844,1.1102230246251565e-16,4.526,48.87695585932313,0,0.0,3.1739981174468994,4,True
tariff_arbitrage,Tariff arbitrage,True,281.1480814780003,281.16801968303946,0.01993820503920563,266.5658620006001,14.582219477299997,122.41745579749464,403.5854754805341,3.767467105263159,1743.8541503738738,1574.0492769624193,1527.8941420326696,0.0,3402.0038650702813,187.7539916587933,4.2620000000000005,157.40492769624194,0,5.551115123125783e-17,3.8810441493988037,4,True
price_oracle,Price threshold (foresight),False,281.3860618881998,281.72903624564316,0.342974357443403,268.0824160905991,13.3036457977,142.31499416940437,424.04403041504753,0.0,1445.1852277008304,1308.079668000004,1232.1817872576187,0.0,3372.261119257647,190.7105595567872,4.826,130.8079668000004,0,1.1102230246251565e-16,2.232220411300659,3,True
