dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,efc_no_battery,cost_self_consumption,efc_self_consumption,cost_fixed_schedule,efc_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,cost_price_threshold,efc_price_threshold,cost_price_rank_daily,efc_price_rank_daily,cost_peak_shaving,efc_peak_shaving,cost_self_consumption_peak_shaving,efc_self_consumption_peak_shaving,cost_tariff_arbitrage,efc_tariff_arbitrage,cost_price_oracle,efc_price_oracle,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,regret_prophet,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct,baseline_positive
Ausgrid 138,451.1957720824002,410.68119553776427,461.840249718336,5965.689,5535.607162935205,6249.999809514135,2546.1800000000003,1967.7341174798391,2671.8678085154706,410.7652499783004,387.7861260344997,22.979123943899996,138.02406105930802,-0.08405444053615685,7.176,143.6034181740109,461.8463374237004,430.6665040014004,31.179833421899993,138.02406105930802,-0.006087705364415699,7.586,154.48647497723977,0.0,416.235198130196,63.37994450000033,434.6793561858169,165.6105416499988,418.140993043197,60.29639404779025,434.37545591143015,111.30475823999977,424.23429037979594,139.38174888797963,445.52433108391784,10.472092632000004,425.16327549229584,48.83842913907778,430.0776382470952,144.5533494264008,433.80618636709676,104.65941344874857,0.3091188114532364,0.6583262555200786,0.6682530037124103,-0.7374169915892939,0.04524314364882497,0.28690811715127174,0.6677767500371513,1.0742948466421849,0.7829187099789828,-0.08329070898800417,0.4660022505979051,0.22903741335546995,51.15905418057173,8.979378587181643,-2.359170518555267,True
Ausgrid 127,322.0287571848022,296.8872501639077,324.30082626993755,3740.375,3581.615588941361,4074.290464743257,285.355,25.28169001200002,526.9423896178425,296.66374280119993,279.75477761709897,16.908965184099998,137.47113976051384,0.2235073627077521,4.743000000000001,101.25930501131604,324.0539553995023,308.5054262098019,15.548529189599996,137.47113976051384,0.24687087043525796,4.634,92.76973072024728,0.0,307.5245538244448,26.133288749999974,311.81196524768455,215.2217785095003,307.5245538244448,26.133288749999974,308.94722014975883,136.94697460987516,304.4780680092439,172.97722553824957,303.5812834172404,20.48748295110735,294.90224821397925,40.15985328856108,302.36542932294395,181.5554387549672,308.77102156134396,133.54612884999977,0.08011630436425973,0.13956218826057734,0.452141964278596,-0.1269219641618804,0.06948271599393181,0.0731622042753028,0.27335405617507574,0.438463167437699,0.4782248888743982,0.21225066186006358,0.29041897808373307,0.28635005710279515,27.413576106029836,7.807224187269267,-0.7055485059775184,True
Ausgrid 65,423.7855451728988,377.0878301308323,423.66535670526815,4949.204,4396.785744083863,5184.428069353211,790.739,99.45237246400004,910.8893203107331,377.00448961780165,348.7653152322015,28.239174385699997,185.78888125867752,0.08334051303065455,8.180895008,136.25594158966243,423.4858852712994,394.5097142290994,28.9761710423,185.78888125867752,0.1794714339687283,8.204,114.16527181876896,0.0,384.46701757144547,71.74419474999988,397.45382376728406,230.09257246624935,384.4951502572455,71.69521807801831,401.7001923162243,151.91616365264886,392.5417448698435,193.7471828200002,406.9292933382171,23.220268859857192,376.50477460378073,78.29050519677018,398.1932992641454,187.18156000611742,399.755377742442,149.2355594955,0.12974284464314256,0.2205587200041776,0.5028016005253555,-0.1824783246378363,0.11175110980990763,0.12145179081688519,0.41237207755474187,0.6431886652119221,0.5627728701205439,-0.06341346936635195,0.7606151664215816,0.751653052404559,46.577526574435865,11.019185428567296,0.028360681245424204,True
Ausgrid 148,513.1878360883985,450.8529216260169,507.8913828395978,6218.915000000001,5499.804678450839,6429.406378937621,988.8919999999999,113.0444084086825,1043.4926563932943,450.7821147948011,434.24885524490116,16.533259549799993,202.55064172670836,0.07080683121583277,6.572,153.52404750205173,507.76360551339894,488.5807872541999,19.182818259400005,202.55064172670836,0.12777732619886326,6.572,153.3474502305197,0.0,460.1569137721422,89.24803975000019,478.5169440842827,260.7233299100015,460.16700139424216,89.23087962976828,486.21673904517587,165.11112095000036,471.16863650774195,213.25474319000077,494.2703011684223,17.605204138215896,455.5286676739807,90.67675434861202,482.5750803083431,192.98353868992803,486.3057167564415,160.24028215000016,0.10735366838576402,0.18855601448116235,0.473523018373735,-0.09960845042771282,0.09163121463110563,0.09596112387118252,0.5834251503352126,0.8273526816045437,0.7082574698229278,-0.22670981883950425,0.9235194043558526,0.6801778422935707,57.03846121358089,12.146607943303668,1.0320691326534865,True
Ausgrid 223,287.1873527772993,238.395866653656,288.0035047951346,3304.7740000000003,2853.379664893796,3676.579765203309,723.391,137.73961920610003,943.199858583965,238.16456361809944,227.90959617789983,10.2549674401,210.77897510239706,0.23130303555654394,6.864,133.44645933913804,287.9290723650992,277.118661121099,10.8104112439,210.77897510239706,0.07443243003534117,6.864,148.94648595254708,0.0,251.22800117844363,64.5855217499998,264.0454969499851,188.74289951520038,251.23656462354356,64.39202813806244,268.07884796709635,138.44820305000013,259.30532635104447,177.18513895000052,269.9236875047411,17.501761852301442,245.98159438305836,69.48288967015661,261.69244023234427,166.73498184751142,268.9383764862443,138.0949281087502,0.07069416439173425,0.12764946163528051,0.4731553630042602,-0.15502137419071782,0.04840654372816343,0.053614894192559284,0.3736769904459165,0.5939819898857646,0.8414471787050918,-0.12263534026752221,0.6712649005796805,0.45653922873188213,49.60763814147859,16.98942716376472,-0.2841880082609981,True
Ausgrid 179,295.5339048137975,261.4242429117501,294.7806998045865,3448.159,3189.2851860477526,3777.997069027052,403.714,42.32619378033751,629.9714091039781,261.2363593021993,253.58372875369906,7.6526305485,147.0385154201167,0.18788360955087074,4.838,102.02327867797449,294.7009332422978,287.6269695641982,7.073963678099998,147.0385154201167,0.07976656228865896,4.679763168,101.83237647908689,0.0,273.51679092504304,36.81518850000009,287.2275727285044,192.70488454999932,273.51679092504304,36.81518850000009,281.30901415206404,135.56326299307563,276.9098809074213,167.84906237262473,287.6624492942158,17.605058110451992,272.53607232388,48.87695585932313,281.16801968303946,157.40492769624194,281.72903624564316,130.8079668000004,0.07701941530567921,0.1350218296218559,0.5099555629039474,-0.15712995663957452,0.05989088789680995,0.06724718798644701,0.3310780834877045,0.5037280548121171,0.6640540273210723,-0.10205794336517804,0.6740484434036963,0.5963645115305581,33.35645689283638,11.541708530376008,0.2548624699036009,True
Ausgrid 261,227.36173808709967,198.89048514782718,226.4747819223855,2636.215,2280.0961128577037,2711.506423059234,530.0060000000001,85.44877637102503,538.3431693971712,198.85718414379983,175.78086055259945,23.076323591299996,116.66619999159944,0.033301004027352324,5.59177842,86.54960526478435,226.17605135419979,203.52238660810002,22.653664745599997,116.66619999159944,0.2987305681857172,4.974,68.63661028962106,0.0,199.70267370874336,48.21304150000012,217.12074324617782,159.68892344999944,199.70267370874336,48.21304150000012,210.66890567283897,114.06022236272443,205.7450040547959,145.23628072999946,207.7910343645326,17.039692587826423,189.39987015928006,58.74368207003637,214.40018926352548,112.28785081259434,206.1370800656444,107.69918309999943,0.07965116578547544,0.13773743497360957,0.48566837451712214,-0.1471923966215538,0.06336926478620666,0.06710468750915731,0.27801331236800964,0.45368861958550516,0.6874064824558584,-0.1525149442144722,0.4219985224478972,0.3692415154211128,27.58429677455831,12.522446907212453,0.39010792764717306,True
Ausgrid 142,233.91212771990013,153.79314799512807,202.77928505762307,3082.336,2038.737669384499,2795.393720884655,2034.358,836.7107589675452,1610.6925942208018,153.46699923730043,139.70398582170057,13.763013415200003,122.02051898779183,0.32614875782763686,4.948,153.8100508063796,202.43631070049912,184.83908411690007,17.5972265837,122.02051898779183,0.3429743571239581,4.948,137.11996953475858,0.0,145.4086625842438,151.8776704999996,208.5993500826537,204.95646053703936,146.8115929243435,149.53485093006762,204.84470471414386,158.05081561399953,177.50137015234395,211.8540296872489,208.625122085338,22.652481754668475,161.0265698532808,113.50654776272668,203.25309969694337,165.81390323125873,198.90092858984303,159.1608464899993,0.1681428717651974,0.29154964752668583,0.48518568575211524,-0.1171046734483272,0.14566657774725805,0.15638416475470018,0.29258683783447537,0.4516744282580489,0.627618451161031,0.0953477695079753,0.5283015098668837,0.43544410328374566,48.986137062495004,34.2517425264547,13.3096316833804,True
Ausgrid 128,369.48429895639947,349.64809985134855,378.9020238572489,4365.071,4299.734675427377,4733.030522243947,187.64,19.873975814000016,457.9173658886822,349.5297736976989,335.8809702492995,13.648803448300008,120.8975737748801,0.11832615364966627,5.234,101.14968158039719,378.77856441429964,362.59588301149995,16.182681402700002,120.8975737748801,0.12345944294925516,5.234,96.58227985714036,0.0,360.0234843032422,17.31451,368.13980465898294,211.54985529999993,360.0234843032422,17.31451,363.2058325643433,138.44739004000002,356.3077843545422,169.00207274999985,359.8806025012867,15.194402274754202,354.0150626308462,28.232747057785748,356.6521294889419,180.60957520973207,362.16148708944337,134.97522697499954,0.09944699978778886,0.17322371620179366,0.49318536160331344,-0.17411969316750864,0.07537545753835197,0.09130312683102475,0.32499874038370086,0.4459085310423622,0.4789832805689037,-0.6060021761843786,0.2753409123518385,0.3566206669924405,29.25392400590033,5.368617600552404,-2.5488836541768003,True
Ausgrid 168,189.81072060170106,145.84162932304736,185.29176091557585,2330.559,1773.4193961639771,2401.564601008841,782.124,119.52528827395273,766.0568899750338,145.55316983719993,134.78464648789964,10.7685233494,112.69114797328527,0.2884594858474214,3.4019999999999997,106.03729000465214,185.00692655620048,171.82332430180026,13.183602254399998,112.69114797328527,0.2848343593753569,3.4019999999999997,88.08109045017045,0.0,150.2586238396437,70.96669100000008,170.789834536684,176.81491081400125,150.2586238396437,70.96669100000008,172.09342225249492,128.93013489559988,157.03816003734346,166.8147265478402,177.81138714445478,17.941479596360196,146.97175493062372,75.87395296156755,176.97148350934356,136.40315290746793,168.50249691734317,127.487885271875,0.08835353244571194,0.1513592234270246,0.4716070361871303,-0.14239633510764738,0.07261436401388238,0.08001945775989916,0.2223173481234736,0.3250753146293306,0.610581373665971,-0.0786043493989328,0.29143885497497785,0.25678031166199217,39.45013159252849,23.164703837207632,2.3807715769689333,True
