controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,461.39391510509813,461.39391510509813,0.0,449.8405037852979,11.553411319800002,140.94967013439648,602.3435852394946,4.0,0.0,0.0,0.0,0.0,6029.782000000002,2108.6269999999968,4.656,0.0,0,0.0,0.620722770690918,1,True
self_consumption,Self-consumption,True,381.6065908831,381.9495652405434,0.34297435744340304,366.5019164756003,15.104674407299996,127.63637295679581,509.5859381973392,0.0,1524.119083102493,1379.3174725000001,0.0,0.0,4650.464527500021,584.5079168975072,4.414,137.93174725,0,1.1102230246251565e-16,1.2681331634521484,2,True
fixed_schedule,Fixed schedule,True,428.4579928389983,428.5823661717764,0.12437333277816046,413.3424989684982,15.1154938704,128.9895165026135,557.5718826743899,2.5494736842105254,967.5246537396125,874.5689999999996,309.41345152354586,0.0,5464.626451523559,1450.5157977839337,4.656,87.45689999999996,0,0.0,1.2855610847473145,2,True
delayed_pv_charge,Delayed PV charge,True,384.13242907260025,384.4754034300436,0.34297435744340304,368.94787678740016,15.184552284899997,127.84843040769306,512.3238338377366,0.0,1476.5229474573753,1336.3619600802792,0.0,0.0,4693.420039919745,632.1040525426268,4.414,133.63619600802792,0,5.551115123125783e-17,1.2689361572265625,2,True
price_threshold,Price threshold,True,385.4169835532994,385.7599579107428,0.34297435744340304,370.57880212629925,14.838181426699993,127.60658786700479,513.3665457777475,0.0,1780.0447110459818,1610.2903517189998,349.90310615401654,0.0,4769.394754435024,678.4853951080328,4.09,161.02903517189998,0,1.1102230246251565e-16,1.900832176208496,3,True
price_rank_daily,Day-ahead price rank,True,381.6669484705997,382.0099228280431,0.34297435744340304,366.8137921847999,14.853156285599997,127.8059899567697,509.8159127848128,0.0,1757.632754729362,1590.0635611432515,240.60572148836565,0.0,4680.324160345127,591.5999667590031,4.414,159.00635611432514,0,1.1102230246251565e-16,1.9022305011749268,3,True
peak_shaving,Peak shaving,True,442.8156145355992,442.87154237124696,0.05592783564778714,438.30794285469915,4.5076716809,100.35649503850203,543.228037409749,3.347731578947371,397.30647174338674,359.1887457484062,170.93720585909674,0.0,5841.530460110692,1882.2577341157084,3.181882000001817,35.918874574840615,0,0.0,2.0352349281311035,3,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,403.44792984090185,403.5439245908323,0.09599474993047658,395.9246293757024,7.523300465099999,99.53554834730912,503.0794729381414,2.8804440000000007,1348.1841117520216,1217.7997390561952,362.52871276306627,0.0,5174.51097370674,1122.9716010110458,4.09,121.77997390561953,0,0.0,4.193262338638306,6,True
tariff_arbitrage,Tariff arbitrage,True,422.86808458959996,423.21105894704334,0.34297435744340304,409.7661775144009,13.101907074999998,115.2323203275052,538.4433792745485,0.0,2833.3164774554157,2560.868120903502,2230.3582660160864,0.0,5699.272145112583,1505.6687885606734,4.09,256.08681209035024,0,1.1102230246251565e-16,3.465977907180786,4,True
price_oracle,Price threshold (foresight),False,382.742609249599,383.0855836070424,0.34297435744340304,368.38280753969923,14.359801709700001,126.58250026659755,509.66808387363994,0.0,1760.677675900276,1592.8116024999997,292.24215789473686,0.0,4729.212555394752,640.1914819944603,4.414,159.28116024999997,0,1.1102230246251565e-16,1.26847505569458,2,True
