controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,283.05642111709966,283.05642111709966,0.0,257.29678401109913,25.759637105999996,159.5088671769127,442.56528829401236,4.0,0.0,0.0,0.0,0.0,3203.0590000000557,493.5629999999984,6.558,0.0,0,0.0,0.6315648555755615,1,True
self_consumption,Self-consumption,True,264.11249294389927,264.45546730134265,0.34297435744340304,235.7281398967993,28.3843530473,152.14502558010798,416.60049288145063,0.0,412.36514127423703,375.9595399999919,0.0,0.0,2827.0994600000126,81.19785872576162,6.558,37.59595399999919,0,2.7755575615628914e-17,1.2519810199737549,2,True
fixed_schedule,Fixed schedule,True,262.26187993899975,262.60485429644314,0.34297435744340304,243.6553743361998,18.606505603000002,130.0722151876086,392.67706948405174,0.0,874.9184138504152,793.4138684999994,632.6220853185594,0.0,3042.2672168186186,251.26667146814486,5.178217000000002,79.34138684999994,0,0.0,3.156407356262207,5,True
delayed_pv_charge,Delayed PV charge,True,264.11015842809917,264.45313278554255,0.34297435744340304,235.7258053809992,28.3843530473,152.14502558010798,416.59815836565053,0.0,412.35914018743057,375.9541240191485,0.0,0.0,2827.104875980856,81.20385981256875,6.558,37.59541240191485,0,2.7755575615628914e-17,1.2630441188812256,2,True
price_threshold,Price threshold,True,265.3585544373996,265.701528794843,0.34297435744340304,236.6541636141996,28.7043908233,149.96113394492835,415.66266273977135,0.0,688.0161988919667,624.7346194999924,314.84429198337955,0.0,2893.1686724833867,120.39109309141264,6.558,62.47346194999924,0,5.551115123125783e-17,1.2558350563049316,2,True
price_rank_daily,Day-ahead price rank,True,265.2791429596991,265.62211731714245,0.34297435744340304,236.73913579739906,28.540007162400002,151.85891147130067,417.48102878844315,0.0,627.4799644459833,570.1006679124923,230.06486472299179,0.0,2863.0231968105013,96.14790027700825,6.558,57.01006679124923,0,5.551115123125783e-17,1.8864991664886475,3,True
peak_shaving,Peak shaving,True,267.0082917885998,266.9308424022795,-0.0774493863203305,246.93132537949933,20.076966409300002,115.45697808708074,382.38782048936025,4.9032673684138155,279.9215152608367,251.7710635229126,97.18205232233802,0.0,3048.4699887994752,310.8235370615012,5.058,25.17710635229126,0,0.0,1.3363776206970215,2,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,254.6001405069994,254.64350149142123,0.04336098442183471,236.09213871999953,18.5080017872,118.42478095430084,373.06828244572205,3.494294736842068,512.2259412613785,462.76433198838714,105.44090001929457,0.0,2845.735568030907,86.7779587579153,5.058,46.27643319883872,0,0.0,4.123263359069824,6,False
tariff_arbitrage,Tariff arbitrage,True,268.7693290879995,269.1123034454429,0.34297435744340304,243.85648643979957,24.9128426481,118.8243190580052,387.93662250344806,0.0,1681.3009441585539,1521.174102103075,1531.861950285093,0.0,3213.7468481820197,344.12400612654193,5.058,152.1174102103075,0,3.469446951953614e-18,2.605272054672241,3,True
price_oracle,Price threshold (foresight),False,264.3967512219991,264.7397255794425,0.34297435744340304,236.15376197179918,28.2429892505,152.5142762409203,417.2540018203628,0.0,645.8274114238228,586.6592388099936,267.7093107548477,0.0,2884.1090719448525,115.44489933102483,6.558,58.66592388099936,0,2.7755575615628914e-17,1.2637481689453125,2,True
