controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,513.1878360883985,513.1878360883985,0.0,490.2323520151988,22.955484073200005,202.55064172670836,715.7384778151069,4.0,0.0,0.0,0.0,0.0,6218.914999999993,988.8919999999996,6.572,0.0,0,0.0,0.7066717147827148,1,True
self_consumption,Self-consumption,True,459.81393941469884,460.1569137721422,0.342974357443403,439.1472380188989,20.6667013958,200.39492213627767,660.5518359084199,0.0,984.6874210526312,892.4803975000019,0.0,0.0,5326.434602500017,4.204578947368424,6.572,89.24803975000019,0,1.1102230246251565e-16,1.4280602931976318,2,True
fixed_schedule,Fixed schedule,True,478.35724664909816,478.5169440842827,0.15969743518458454,454.98898536389765,23.368261285,189.0391813986945,667.5561254829772,2.1374999999999997,2886.940636121875,2607.233299100015,2010.0246250415512,0.0,5621.706325941553,111.97598891966753,6.572,260.7233299100015,0,1.1102230246251565e-16,2.1577394008636475,3,True
delayed_pv_charge,Delayed PV charge,True,459.8240270367988,460.16700139424216,0.342974357443403,439.15732564099886,20.6667013958,200.39492213627767,660.5619235305198,0.0,984.4972812162666,892.3087962976829,0.0,0.0,5326.606203702336,4.394718783732969,6.572,89.23087962976828,0,1.1102230246251565e-16,1.440446138381958,2,True
price_threshold,Price threshold,True,486.23251135279776,486.21673904517587,-0.015772307621903937,464.05577959689793,22.1767317558,193.82489225988812,680.041631305064,4.1839473684210535,1829.6797335180029,1651.1112095000035,1331.9997833795017,0.0,5899.803573879491,491.21204986149627,6.572,165.11112095000036,0,1.1102230246251565e-16,2.189934730529785,3,True
price_rank_daily,Day-ahead price rank,True,470.82566215029857,471.16863650774195,0.342974357443403,448.48124516249834,22.344416987800003,179.12607672480888,650.2947132325509,0.0,2358.7229162326807,2132.5474319000077,1590.0219688642655,0.0,5676.389536964275,220.19105263157908,6.572,213.25474319000077,0,1.1102230246251565e-16,2.1809980869293213,3,True
peak_shaving,Peak shaving,True,494.4764323313996,494.2703011684223,-0.20613116297731543,483.5409222669994,10.935510064199999,169.0076958218891,663.2779969903114,6.404041684210527,197.60208419075792,176.05204138215896,74.08799165909754,0.0,6116.950950276939,865.3779074683401,5.072,17.605204138215896,0,0.0,1.5659949779510498,2,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,455.48579587930027,455.5286676739807,0.04287179468042533,444.139328408,11.346467471299997,169.16534235831102,624.6940100322918,3.5000000000000004,1004.2022642505505,906.7675434861202,121.60818211651815,0.0,5433.755638630435,106.29791786596877,5.154,90.67675434861202,0,1.1102230246251565e-16,1.5540132522583008,2,True
tariff_arbitrage,Tariff arbitrage,True,482.2321059508997,482.5750803083431,0.342974357443403,460.6696588545996,21.5624470962,180.9913623451831,663.5664426535262,0.0,2134.1112320213647,1929.8353868992804,1672.876233658005,0.0,5961.955846758725,527.6570016366431,6.364,192.98353868992803,0,1.1102230246251565e-16,2.899226665496826,3,True
price_oracle,Price threshold (foresight),False,485.9627423989981,486.3057167564415,0.342974357443403,463.79589148469853,22.1668509143,195.37360902139366,681.6793257778352,0.0,1771.3050653739585,1602.4028215000014,1294.3386997229907,0.0,5910.850878222984,511.92563434903076,6.572,160.24028215000016,0,5.551115123125783e-17,2.181983232498169,3,True
