controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,423.7855451728988,423.7855451728988,0.0,394.7624978482992,29.023047324599997,185.78888125867752,609.5744264315763,4.0,0.0,0.0,0.0,0.0,4949.203999999979,790.7390000000006,8.204,0.0,0,0.0,0.7187938690185547,1,True
self_consumption,Self-consumption,True,384.1240432140021,384.46701757144547,0.342974357443403,354.2083198001017,29.915723413699997,181.68044765930966,566.1474652307552,0.0,790.7390000000006,717.4419474999987,0.0,0.0,4231.762052499995,6.106226635438361e-16,8.204,71.74419474999988,0,1.1102230246251565e-16,1.456502914428711,2,True
fixed_schedule,Fixed schedule,True,397.2941263320995,397.45382376728406,0.15969743518458454,368.25759505599984,29.036531276199998,166.99972606573687,564.4535498330209,2.1374999999999997,2547.5416616758935,2300.9257246624934,1922.1626949168967,0.0,4570.440970254397,165.36003324099732,8.11,230.09257246624935,0,1.1102230246251565e-16,2.2421391010284424,3,True
delayed_pv_charge,Delayed PV charge,True,384.1521758998021,384.4951502572455,0.342974357443403,354.23645248590174,29.915723413699997,181.68044765930966,566.1755979165551,0.0,790.1963221941107,716.9521807801832,0.0,0.0,4232.2518192198095,0.5426778058898578,8.204,71.69521807801831,0,1.1102230246251565e-16,1.479353904724121,2,True
price_threshold,Price threshold,True,401.61203436789987,401.7001923162243,0.08815794832443256,373.31480721280013,28.297227155299993,175.7280593125203,577.4282516287445,2.9718421052631583,1682.199320250953,1519.1616365264886,1305.4907302232518,0.0,4735.533093696763,414.0304099722986,8.11,151.91616365264886,0,2.7755575615628914e-17,2.9923739433288574,4,True
price_rank_daily,Day-ahead price rank,True,392.19877051240013,392.5417448698435,0.342974357443403,362.27997831759967,29.918792194700004,173.49525525721444,566.0370001270579,0.0,2142.572662825482,1937.4718282000022,1582.5545016066476,0.0,4594.286673406644,230.72083878116354,8.11,193.7471828200002,0,1.1102230246251565e-16,2.2127771377563477,3,True
peak_shaving,Peak shaving,True,407.18652410629966,406.9292933382171,-0.2572307680825523,387.8904865226998,19.2960375837,160.53106996058602,567.4603632988031,7.000000000000001,260.446192352988,232.20268859857194,128.8913326915623,0.0,4845.892644093033,659.1841403385749,6.704000000000001,23.220268859857192,0,0.0,3.1754150390625,4,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,376.4619028091003,376.50477460378073,0.04287179468042533,357.5766919260997,18.885210883100005,162.42723195298638,538.9320065567671,3.5000000000000004,866.958506335406,782.9050519677019,136.14933661279906,0.0,4302.448284645081,59.92983027739397,6.704000000000001,78.29050519677018,0,1.1102230246251565e-16,4.0084943771362305,5,True
tariff_arbitrage,Tariff arbitrage,True,397.85032490670204,398.1932992641454,0.342974357443403,372.43419288650193,25.416132020200003,161.8382455356138,560.0315447997592,0.0,2069.8233795691744,1871.815600061174,1742.0283675143266,0.0,4819.416767453158,462.94398794515325,8.11,187.18156000611742,0,1.1102230246251565e-16,3.966803550720215,4,True
price_oracle,Price threshold (foresight),False,399.41240338499864,399.755377742442,0.342974357443403,372.2751439437989,27.137259441199998,176.79535505072744,576.5507327931695,0.0,1649.3690802825486,1492.355594955,1278.326136469529,0.0,4735.174541514525,419.6960561869802,8.11,149.2355594955,0,2.7755575615628914e-17,2.287123203277588,3,True
